SMILES,Name,InChI,Formula,MW,LogP,pKd,Structure,Synthesize,Chemical,SA_Score,SA_Score_Binary,Dataset,ID
NC1=C2C=NNC2=NC([C@@H](/C=C/CC2=NC(CCCl)=CC=C2)C(=O)O)=N1,21/000000020,"InChI=1S/C17H17ClN6O2/c18-8-7-11-4-1-3-10(21-11)5-2-6-12(17(25)26)15-22-14(19)13-9-20-24-16(13)23-15/h1-4,6,9,12H,5,7-8H2,(H,25,26)(H3,19,20,22,23,24)/b6-2+/t12-/m1/s1",C17H17N6O2Cl,372.0,2.17,6.45,6.97,24.1,-190.0,3.895023828574288,1,DRUGLIKE_CONCAT,Druglike_1
NC1=C2C=NNC2=NC([C@@H](/C=C/CC2=NC=CC=C2CCBr)C(=O)O)=N1,21/000000030,"InChI=1S/C17H17BrN6O2/c18-7-6-10-3-2-8-20-13(10)5-1-4-11(17(25)26)15-22-14(19)12-9-21-24-16(12)23-15/h1-4,8-9,11H,5-7H2,(H,25,26)(H3,19,21,22,23,24)/b4-1+/t11-/m1/s1",C17H17N6O2Br,417.0,2.42,6.04,5.01,24.1,-190.0,3.9780202942707534,1,DRUGLIKE_CONCAT,Druglike_2
NCOCC1=CC([C@@H](N)C2=NC(I)=C(C#CC(=O)O)C=C2)=CO1,26/000000135,"InChI=1S/C15H14IN3O4/c16-15-9(2-4-13(20)21)1-3-12(19-15)14(18)10-5-11(23-6-10)7-22-8-17/h1,3,5-6,14H,7-8,17-18H2,(H,20,21)/t14-/m1/s1",C15H14N3O4I,427.0,0.67,5.42,2.91,24.5,-190.0,4.196951978508578,1,DRUGLIKE_CONCAT,Druglike_3
CC(=O)C1=C[C@@H](C(=O)O)NC(/C=C/CNCC2=C(Br)C=NN2)=N1,18/000000048,"InChI=1S/C14H16BrN5O3/c1-8(21)10-5-11(14(22)23)19-13(18-10)3-2-4-16-7-12-9(15)6-17-20-12/h2-3,5-6,11,16H,4,7H2,1H3,(H,17,20)(H,18,19)(H,22,23)/b3-2+/t11-/m0/s1",C14H16N5O3Br,382.0,0.49,5.39,6.63,5.23,-170.0,4.325905103508578,1,DRUGLIKE_CONCAT,Druglike_4
O=C(O)C1=CN=C(O)N=C1C/C=C/C1=NC(Br)=C(Cl)C=C1,29/000000167,"InChI=1S/C13H9BrClN3O3/c14-11-9(15)5-4-7(17-11)2-1-3-10-8(12(19)20)6-16-13(21)18-10/h1-2,4-6H,3H2,(H,19,20)(H,16,18,21)/b2-1+",C13H9N3O3ClBr,370.0,2.46,5.37,7.3,5.21,0.0,3.366447864464,1,DRUGLIKE_CONCAT,Druglike_5
O=C(O)CC1=CC=CC(C2=CC=C(C(=O)C3=NC(=O)ON3)N2)=C1,23/000000301,"InChI=1S/C15H11N3O5/c19-12(20)7-8-2-1-3-9(6-8)10-4-5-11(16-10)13(21)14-17-15(22)23-18-14/h1-6,16H,7H2,(H,19,20)(H,17,18,22)",C15H11N3O5,313.0,1.2,5.37,6.9,3.58,-120.0,2.8540777611395143,1,DRUGLIKE_CONCAT,Druglike_6
O=C(C1=CC=C(C2=CC(CCO)=CC=C2)N1)C1=NC(=O)ON1,23/000000302,"InChI=1S/C15H13N3O4/c19-7-6-9-2-1-3-10(8-9)11-4-5-12(16-11)13(20)14-17-15(21)22-18-14/h1-5,8,16,19H,6-7H2,(H,17,18,21)",C15H13N3O4,299.0,1.12,5.35,6.43,3.58,-120.0,2.906767313230713,1,DRUGLIKE_CONCAT,Druglike_7
O=C(O)C1=CN=C(O)N=C1[C@@H](O)/C=C/C1=NC(Cl)=CN1,29/000000176,"InChI=1S/C11H9ClN4O4/c12-7-4-13-8(15-7)2-1-6(17)9-5(10(18)19)3-14-11(20)16-9/h1-4,6,17H,(H,13,15)(H,18,19)(H,14,16,20)/b2-1+/t6-/m0/s1",C11H9N4O4Cl,296.0,0.02,5.3,7.31,5.24,-150.0,4.315200125052055,1,DRUGLIKE_CONCAT,Druglike_8
C=CC1=C(CCO)C=C(C2=CC=C(C(=O)C3=NC(=O)ON3)N2)C=C1,23/000000404,"InChI=1S/C17H15N3O4/c1-2-10-3-4-12(9-11(10)7-8-21)13-5-6-14(18-13)15(22)16-19-17(23)24-20-16/h2-6,9,18,21H,1,7-8H2,(H,19,20,23)",C17H15N3O4,325.0,1.63,5.28,6.06,5.09,-120.0,3.234758369600878,1,DRUGLIKE_CONCAT,Druglike_9
NC[C@H](/C=C/CC1=C(CCBr)C(CO)=CC=N1)C1=NC(N)=C2C=NNC2=N1,21/000000045,"InChI=1S/C18H22BrN7O/c19-6-4-13-12(10-27)5-7-22-15(13)3-1-2-11(8-20)17-24-16(21)14-9-23-26-18(14)25-17/h1-2,5,7,9,11,27H,3-4,6,8,10,20H2,(H3,21,23,24,25,26)/b2-1+/t11-/m0/s1",C18H22N7OBr,432.0,1.29,5.28,6.72,23.9,-190.0,4.200336924865272,1,DRUGLIKE_CONCAT,Druglike_10
