SMILES,Name,InChI,Formula,MW,LogP,pKd,Structure,Synthesize,Chemical,SA_Score,SA_Score_Binary,Dataset
OC(=O)[C@H](/C=C/Cc1nc(ccc1)CCCl)c1nc(N)c2c(n1)[nH]nc2,21/000000020,"InChI=1S/C17H17ClN6O2/c18-8-7-11-4-1-3-10(21-11)5-2-6-12(17(25)26)15-22-14(19)13-9-20-24-16(13)23-15/h1-4,6,9,12H,5,7-8H2,(H,25,26)(H3,19,20,22,23,24)/b6-2+/t12-/m1/s1",C17H17N6O2Cl,372,2.17,6.45,6.97,24.1,-190,3.895023828574288,1,DRUGLIKE_CONCAT
OC(=O)[C@H](/C=C/Cc1ncccc1CCBr)c1nc(N)c2c(n1)[nH]nc2,21/000000030,"InChI=1S/C17H17BrN6O2/c18-7-6-10-3-2-8-20-13(10)5-1-4-11(17(25)26)15-22-14(19)12-9-21-24-16(12)23-15/h1-4,8-9,11H,5-7H2,(H,25,26)(H3,19,21,22,23,24)/b4-1+/t11-/m1/s1",C17H17N6O2Br,417,2.42,6.04,5.01,24.1,-190,3.9780202942707534,1,DRUGLIKE_CONCAT
Oc1ncc(c(n1)C/C=C/c1nc(Br)c(cc1)Cl)C(=O)O,29/000000167,"InChI=1S/C13H9BrClN3O3/c14-11-9(15)5-4-7(17-11)2-1-3-10-8(12(19)20)6-16-13(21)18-10/h1-2,4-6H,3H2,(H,19,20)(H,16,18,21)/b2-1+",C13H9N3O3ClBr,370,2.46,5.37,7.3,5.21,0,3.366447864464,1,DRUGLIKE_CONCAT
OC(=O)Cc1cccc(c1)c1[nH]c(cc1)C(=O)c1nc(=O)o[nH]1,23/000000301,"InChI=1S/C15H11N3O5/c19-12(20)7-8-2-1-3-9(6-8)10-4-5-11(16-10)13(21)14-17-15(22)23-18-14/h1-6,16H,7H2,(H,19,20)(H,17,18,22)",C15H11N3O5,313,1.2,5.37,6.9,3.58,-120,2.8540777611395143,1,DRUGLIKE_CONCAT
OCCc1cccc(c1)c1[nH]c(cc1)C(=O)c1nc(=O)o[nH]1,23/000000302,"InChI=1S/C15H13N3O4/c19-7-6-9-2-1-3-10(8-9)11-4-5-12(16-11)13(20)14-17-15(21)22-18-14/h1-5,8,16,19H,6-7H2,(H,17,18,21)",C15H13N3O4,299,1.12,5.35,6.43,3.58,-120,2.906767313230713,1,DRUGLIKE_CONCAT
OCCc1c(C=C)ccc(c1)c1[nH]c(cc1)C(=O)c1nc(=O)o[nH]1,23/000000404,"InChI=1S/C17H15N3O4/c1-2-10-3-4-12(9-11(10)7-8-21)13-5-6-14(18-13)15(22)16-19-17(23)24-20-16/h2-6,9,18,21H,1,7-8H2,(H,19,20,23)",C17H15N3O4,325,1.63,5.28,6.06,5.09,-120,3.234758369600878,1,DRUGLIKE_CONCAT
Oc1cccnc1C/C=C/[C@@H](CO)c1nc(N)c2c(n1)[nH]nc2,21/000000019,"InChI=1S/C15H16N6O2/c16-13-10-7-18-21-15(10)20-14(19-13)9(8-22)3-1-4-11-12(23)5-2-6-17-11/h1-3,5-7,9,22-23H,4,8H2,(H3,16,18,19,20,21)/b3-1+/t9-/m0/s1",C15H16N6O2,312,0.6,5.22,4.13,20.2,-190,3.905465920816269,1,DRUGLIKE_CONCAT
OC(=O)c1ccc(cc1CC(=O)c1ccc(cc1O)Br)C1=CN=CCN1,3/000000259,"InChI=1S/C19H15BrN2O4/c20-13-2-4-15(18(24)9-13)17(23)8-12-7-11(1-3-14(12)19(25)26)16-10-21-5-6-22-16/h1-5,7,9-10,22,24H,6,8H2,(H,25,26)",C19H15N2O4Br,415,3.07,5.22,7.04,5.08,-160,3.0233038835627113,1,DRUGLIKE_CONCAT
OC(=O)[C@H]1C=C(OC(=C1)CCCc1cnc(c(c1)C)I)C(=O)OCCN,2/000000019,"InChI=1S/C18H21IN2O5/c1-11-7-12(10-21-16(11)19)3-2-4-14-8-13(17(22)23)9-15(26-14)18(24)25-6-5-20/h7-10,13H,2-6,20H2,1H3,(H,22,23)/t13-/m1/s1",C18H21N2O5I,472,2.12,5.21,5.23,24.3,-170,3.991686406536865,1,DRUGLIKE_CONCAT
O=c1nc([nH]o1)C(=O)c1[nH]c(cc1)c1ccc(c(c1)I)C=C,23/000000470,"InChI=1S/C15H10IN3O3/c1-2-8-3-4-9(7-10(8)16)11-5-6-12(17-11)13(20)14-18-15(21)22-19-14/h2-7,17H,1H2,(H,18,19,21)",C15H10N3O3I,407,3.35,5.2,5.76,3.58,-120,3.366353133861695,1,DRUGLIKE_CONCAT
OC(=O)c1ncc(cc1Br)/C=C/[C@H]1NC(=O)C=C1CCO,13/000000015,"InChI=1S/C14H13BrN2O4/c15-10-5-8(7-16-13(10)14(20)21)1-2-11-9(3-4-18)6-12(19)17-11/h1-2,5-7,11,18H,3-4H2,(H,17,19)(H,20,21)/b2-1+/t11-/m1/s1",C14H13N2O4Br,353,0.18,5.17,6.0,3.85,-150,3.905083296126063,1,DRUGLIKE_CONCAT
OCCc1cc(ccc1CF)c1[nH]c(cc1)C(=O)c1nc(=O)o[nH]1,23/000000421,"InChI=1S/C16H14FN3O4/c17-8-11-2-1-10(7-9(11)5-6-21)12-3-4-13(18-12)14(22)15-19-16(23)24-20-15/h1-4,7,18,21H,5-6,8H2,(H,19,20,23)",C16H14N3O4F,331,1.44,5.14,5.91,5.09,-120,3.2548475098723717,1,DRUGLIKE_CONCAT
Oc1ncc(c(n1)C/C=C/c1ccccc1)C(=O)O,29/000000024,"InChI=1S/C14H12N2O3/c17-13(18)11-9-15-14(19)16-12(11)8-4-7-10-5-2-1-3-6-10/h1-7,9H,8H2,(H,17,18)(H,15,16,19)/b7-4+",C14H12N2O3,256,2.11,5.13,6.3,3.85,0,2.6553002255758003,1,DRUGLIKE_CONCAT
Oc1nccc(c1)CCC#Cc1nc(c(nc1)Cl)C(=O)CO,19/000000037,"InChI=1S/C15H12ClN3O3/c16-15-14(12(21)9-20)19-11(8-18-15)4-2-1-3-10-5-6-17-13(22)7-10/h5-8,20H,1,3,9H2,(H,17,22)",C15H12N3O3Cl,317,0.86,5.11,7.18,19.7,0,3.3693568559460623,1,DRUGLIKE_CONCAT
O=c1o[nH]c(n1)C(=O)c1ccc([nH]1)c1ccc(c(c1)I)C,23/000000364,"InChI=1S/C14H10IN3O3/c1-7-2-3-8(6-9(7)15)10-4-5-11(16-10)12(19)13-17-14(20)21-18-13/h2-6,16H,1H3,(H,17,18,20)",C14H10N3O3I,395,3.07,5.11,6.27,3.58,-140,3.091651964630344,1,DRUGLIKE_CONCAT
O=c1nc([nH]o1)C(=O)c1[nH]c(cc1)c1ccc(c(c1)C(=C)C)CF,23/000000365,"InChI=1S/C17H14FN3O3/c1-9(2)12-7-10(3-4-11(12)8-18)13-5-6-14(19-13)15(22)16-20-17(23)24-21-16/h3-7,19H,1,8H2,2H3,(H,20,21,23)",C17H14N3O3F,327,2.76,5.11,6.28,5.09,-140,3.347080794805173,1,DRUGLIKE_CONCAT
O=c1o[nH]c(n1)C(=O)c1ccc([nH]1)c1ccc(c(c1)I)F,23/000000401,"InChI=1S/C13H7FIN3O3/c14-7-2-1-6(5-8(7)15)9-3-4-10(16-9)11(19)12-17-13(20)21-18-12/h1-5,16H,(H,17,18,20)",C13H7N3O3FI,399,3.0,5.1,5.82,3.58,-120,3.149467870758116,1,DRUGLIKE_CONCAT
OC(=O)CNCC(=O)C1=CC(=C[C@H]1C(=O)O)C(=O)C(=C)c1c(F)ccc(c1)F,1/000000017,"InChI=1S/C19H15F2NO6/c1-9(12-6-11(20)2-3-15(12)21)18(26)10-4-13(14(5-10)19(27)28)16(23)7-22-8-17(24)25/h2-6,14,22H,1,7-8H2,(H,24,25)(H,27,28)/t14-/m1/s1",C19H15NO6F2,391,0.68,5.09,5.58,6.45,-150,3.7759943078897145,1,DRUGLIKE_CONCAT
OCc1ccc(cc1)CC(=O)CNC/C=C/c1c(F)ccc(c1)F,16/000000020,"InChI=1S/C19H19F2NO2/c20-17-7-8-19(21)16(11-17)2-1-9-22-12-18(24)10-14-3-5-15(13-23)6-4-14/h1-8,11,22-23H,9-10,12-13H2/b2-1+",C19H19NO2F2,331,2.82,5.09,4.94,5.09,0,2.439087102632552,1,DRUGLIKE_CONCAT
OCCc1cccc(c1F)c1ccc([nH]1)C(=O)c1nc(=O)o[nH]1,23/000000451,"InChI=1S/C15H12FN3O4/c16-12-8(6-7-20)2-1-3-9(12)10-4-5-11(17-10)13(21)14-18-15(22)23-19-14/h1-5,17,20H,6-7H2,(H,18,19,22)",C15H12N3O4F,317,1.28,5.09,6.36,5.09,-120,3.112934802559633,1,DRUGLIKE_CONCAT
O=c1nc([nH]o1)C(=O)c1[nH]c(cc1)c1ccc(c(c1)CNCC#CCC)Cl,23/000000406,"InChI=1S/C19H17ClN4O3/c1-2-3-4-9-21-11-13-10-12(5-6-14(13)20)15-7-8-16(22-15)17(25)18-23-19(26)27-24-18/h5-8,10,21-22H,2,9,11H2,1H3,(H,23,24,26)",C19H17N4O3Cl,384,2.81,5.08,4.98,4.94,-140,3.307677010789071,1,DRUGLIKE_CONCAT
O=c1nc([nH]o1)C(=O)c1[nH]c(cc1)c1ccc(c(c1)NC(=O)N)/C=C/C,23/000000428,"InChI=1S/C17H15N5O4/c1-2-3-9-4-5-10(8-13(9)20-16(18)24)11-6-7-12(19-11)14(23)15-21-17(25)26-22-15/h2-8,19H,1H3,(H3,18,20,24)(H,21,22,25)/b3-2+",C17H15N5O4,353,0.98,5.08,5.8,6.45,-140,3.223064052161236,1,DRUGLIKE_CONCAT
OC(=O)[C@H]1C=C(OC(=C1)CCCc1cnc(cc1)I)C(=O)OCCN,2/000000002,"InChI=1S/C17H19IN2O5/c18-15-5-4-11(10-20-15)2-1-3-13-8-12(16(21)22)9-14(25-13)17(23)24-7-6-19/h4-5,8-10,12H,1-3,6-7,19H2,(H,21,22)/t12-/m1/s1",C17H19N2O5I,458,1.89,5.07,3.67,23.7,-170,3.8963006807223746,1,DRUGLIKE_CONCAT
OC(=O)C1=Cc2c(C1)ccc(c2)C#CCCCN,26/000000048,"InChI=1S/C15H15NO2/c16-7-3-1-2-4-11-5-6-12-9-14(15(17)18)10-13(12)8-11/h5-6,8,10H,1,3,7,9,16H2,(H,17,18)",C15H15NO2,241,1.86,5.06,6.17,16.8,-40,2.8703946115122765,1,DRUGLIKE_CONCAT
