SMILES,Name,InChI,Formula,MW,LogP,pKd,Structure,Synthesize,Chemical,SA_Score,SA_Score_Binary,Dataset
OCC(=O)c1cc(N=O)c(c(c1)n1cnnc1S)Br	No_1_211,12/000000088,"InChI=1S/C10H7BrN4O3S/c11-9-6(14-18)1-5(8(17)3-16)2-7(9)15-4-12-13-10(15)19/h1-2,4,16H,3H2,(H,13,19)",C10H7N4O3SBr,343.0,2.45,5.92,5.03,22.6,-120.0,3.555365807429842,1,HIGHDIVERSITY_CONCAT
OC(=O)c1cc(OC/C=C/[C@@H]2NNc3c2cccc3)c(c(c1)ON)Br	No_1_648,12/000001403,"InChI=1S/C17H16BrN3O4/c18-16-14(8-10(17(22)23)9-15(16)25-19)24-7-3-6-13-11-4-1-2-5-12(11)20-21-13/h1-6,8-9,13,20-21H,7,19H2,(H,22,23)/b6-3+/t13-/m0/s1",C17H16N3O4Br,406.0,2.98,5.86,7.55,21.3,-190.0,3.7090264631090015,1,HIGHDIVERSITY_CONCAT
Oc1c(Br)ccnc1C1=C(C(=O)C=C(C1=O)C(=O)CCN)CCl	No_5_565,10/000000184,"InChI=1S/C15H12BrClN2O4/c16-9-2-4-19-13(15(9)23)12-8(6-17)11(21)5-7(14(12)22)10(20)1-3-18/h2,4-5,23H,1,3,6,18H2",C15H12N2O4ClBr,399.0,0.05,5.54,6.07,24.0,-160.0,3.500358879673586,1,HIGHDIVERSITY_CONCAT
OC(=O)c1cc(ON)c(c(c1)C[C@H](c1ncccc1)N)Br	No_5_305,12/000000612,"InChI=1S/C14H14BrN3O3/c15-13-8(5-9(14(19)20)7-12(13)21-17)6-10(16)11-3-1-2-4-18-11/h1-5,7,10H,6,16-17H2,(H,19,20)/t10-/m1/s1",C14H14N3O3Br,352.0,0.9,5.51,5.51,2.64,-150.0,3.15532838896426,1,HIGHDIVERSITY_CONCAT
OC[C@@](C)(C#CCCc1cc(C(=O)N=O)cc(c1Br)O)O	No_3_96,12/000000253,"InChI=1S/C14H14BrNO5/c1-14(20,8-17)5-3-2-4-9-6-10(13(19)16-21)7-11(18)12(9)15/h6-7,17-18,20H,2,4,8H2,1H3/t14-/m1/s1",C14H14NO5Br,356.0,1.31,5.45,5.9,5.21,-200.0,3.9617755375053743,1,HIGHDIVERSITY_CONCAT
SCCN(CC#CCCc1cc(C(=O)N=O)cc(c1Br)O)C	No_4_301,12/000000805,"InChI=1S/C15H17BrN2O3S/c1-18(7-8-22)6-4-2-3-5-11-9-12(15(20)17-21)10-13(19)14(11)16/h9-10,19,22H,3,5-8H2,1H3",C15H17N2O3SBr,385.0,3.04,5.44,5.52,5.21,-80.0,3.5452225879559887,1,HIGHDIVERSITY_CONCAT
OC(=O)c1cc(c(c(c1)ON)Br)C[C@H](/C=C/CC)N	No_5_342,12/000000631,"InChI=1S/C13H17BrN2O3/c1-2-3-4-10(15)6-8-5-9(13(17)18)7-11(19-16)12(8)14/h3-5,7,10H,2,6,15-16H2,1H3,(H,17,18)/b4-3+/t10-/m0/s1",C13H17N2O3Br,329.0,1.53,5.37,5.24,2.48,-170.0,3.582769209014012,1,HIGHDIVERSITY_CONCAT
OC(=O)c1cc(ON)c(c(c1)C#CCCCCC=C(C)C)Br	No_1_206,12/000001211,"InChI=1S/C17H20BrNO3/c1-12(2)8-6-4-3-5-7-9-13-10-14(17(20)21)11-15(22-19)16(13)18/h8,10-11H,3-6,19H2,1-2H3,(H,20,21)",C17H20NO3Br,366.0,3.34,5.37,8.15,20.5,-140.0,3.0635495110329103,1,HIGHDIVERSITY_CONCAT
OC(=O)c1cc(OC[C@@H](CCC)CBr)c(c(c1)ON)Br	No_1_609,12/000001389,"InChI=1S/C13H17Br2NO4/c1-2-3-8(6-14)7-19-10-4-9(13(17)18)5-11(20-16)12(10)15/h4-5,8H,2-3,6-7,16H2,1H3,(H,17,18)/t8-/m0/s1",C13H17NO4Br2,411.0,3.36,5.36,6.84,17.2,-170.0,3.254375276567206,1,HIGHDIVERSITY_CONCAT
O=Nc1c(Br)c(cc(c1)C(=O)CO)c1cnc(cc1)C(=O)O	No_2_98,12/000000376,"InChI=1S/C14H9BrN2O5/c15-13-9(7-1-2-10(14(20)21)16-5-7)3-8(12(19)6-18)4-11(13)17-22/h1-5,18H,6H2,(H,20,21)",C14H9N2O5Br,365.0,1.56,5.34,4.57,20.3,-160.0,2.877777972571373,1,HIGHDIVERSITY_CONCAT
OCc1cc(C(=O)N=O)cc(c1Br)CCCN[C@H](C=C)N	No_4_640,12/000000856,"InChI=1S/C14H18BrN3O3/c1-2-12(16)17-5-3-4-9-6-10(14(20)18-21)7-11(8-19)13(9)15/h2,6-7,12,17,19H,1,3-5,8,16H2/t12-/m1/s1",C14H18N3O3Br,356.0,1.68,5.33,6.36,20.3,-180.0,3.743968553699707,1,HIGHDIVERSITY_CONCAT
Oc1cccc(c1)C#C[C@@H](CCO)/C=C/CNOCCC	No_5_353,23/000000182,"InChI=1S/C17H23NO3/c1-2-13-21-18-11-4-6-15(10-12-19)8-9-16-5-3-7-17(20)14-16/h3-7,14-15,18-20H,2,10-13H2,1H3/b6-4+/t15-/m0/s1",C17H23NO3,289.0,3.3,5.3,2.8,17.8,-200.0,3.8673459221207582,1,HIGHDIVERSITY_CONCAT
Oc1c(I)c(C#CCCC2=CCCS2)cc(c1)N1C(=O)NCC1	No_2_401,28/000000522,"InChI=1S/C17H17IN2O2S/c18-16-12(4-1-2-5-14-6-3-9-23-14)10-13(11-15(16)21)20-8-7-19-17(20)22/h6,10-11,21H,2-3,5,7-9H2,(H,19,22)",C17H17N2O2SI,440.0,3.23,5.3,4.88,24.0,-120.0,3.623298514232575,1,HIGHDIVERSITY_CONCAT
O=Nc1cc(cc(c1Br)[C@H](C=C)O)C(=O)CCNN	No_3_190,12/000000923,"InChI=1S/C12H14BrN3O3/c1-2-10(17)8-5-7(11(18)3-4-15-14)6-9(16-19)12(8)13/h2,5-6,10,15,17H,1,3-4,14H2/t10-/m0/s1",C12H14N3O3Br,328.0,0.7,5.29,3.34,5.24,-170.0,3.978712195439352,1,HIGHDIVERSITY_CONCAT
Oc1c(Br)ccnc1C1=C(C(=O)C=C(C1=O)C(=O)CCC[NH3+])CCl	No_5_298,10/000000140,"InChI=1S/C16H14BrClN2O4/c17-10-3-5-20-14(16(10)24)13-9(7-18)12(22)6-8(15(13)23)11(21)2-1-4-19/h3,5-6,24H,1-2,4,7,19H2/p+1",C16H15N2O4ClBr,414.0,0.41,5.28,5.91,24.6,-180.0,3.9341461767710832,1,HIGHDIVERSITY_CONCAT
OC(=O)Cc1n[nH]c(n1)c1nc(ccc1I)/C=C/c1ccccc1	No_3_518,4/000000123,"InChI=1S/C17H13IN4O2/c18-13-9-8-12(7-6-11-4-2-1-3-5-11)19-16(13)17-20-14(21-22-17)10-15(23)24/h1-9H,10H2,(H,23,24)(H,20,21,22)/b7-6+",C17H13N4O2I,432.0,3.84,5.27,4.57,22.4,-160.0,2.852655546464936,1,HIGHDIVERSITY_CONCAT
OC(=O)Cc1nc([nH]n1)c1nc(/C=C/c2cnccc2)c(cc1I)Cl	No_4_281,4/000000242,"InChI=1S/C16H11ClIN5O2/c17-10-6-11(18)15(16-21-13(22-23-16)7-14(24)25)20-12(10)4-3-9-2-1-5-19-8-9/h1-6,8H,7H2,(H,24,25)(H,21,22,23)/b4-3+",C16H11N5O2ClI,467.0,3.22,5.23,5.28,24.7,-180.0,3.220888505949124,1,HIGHDIVERSITY_CONCAT
Oc1c(C=C)c(C#CCCC2=CCCS2)cc(c1)N1C(=O)NCC1	No_2_345,28/000000503,"InChI=1S/C19H20N2O2S/c1-2-17-14(6-3-4-7-16-8-5-11-24-16)12-15(13-18(17)22)21-10-9-20-19(21)23/h2,8,12-13,22H,1,4-5,7,9-11H2,(H,20,23)",C19H20N2O2S,340.0,2.68,5.22,5.01,24.5,-120.0,3.6374234394415232,1,HIGHDIVERSITY_CONCAT
OC(=O)c1cc(c(c(c1)ON)Br)C[C@H](c1n[nH]cn1)N	No_5_700,12/000000725,"InChI=1S/C11H12BrN5O3/c12-9-5(2-7(13)10-15-4-16-17-10)1-6(11(18)19)3-8(9)20-14/h1,3-4,7H,2,13-14H2,(H,18,19)(H,15,16,17)/t7-/m1/s1",C11H12N5O3Br,342.0,0.3,5.21,5.36,2.48,-150.0,3.9465903348422646,1,HIGHDIVERSITY_CONCAT
OC(=O)c1cc(ON)c(c(c1)C#CCCCCF)Br	No_1_447,12/000001312,"InChI=1S/C13H13BrFNO3/c14-12-9(5-3-1-2-4-6-15)7-10(13(17)18)8-11(12)19-16/h7-8H,1-2,4,6,16H2,(H,17,18)",C13H13NO3FBr,330.0,3.03,5.2,5.26,19.8,0.0,3.134844801512683,1,HIGHDIVERSITY_CONCAT
Oc1c(ncc(c1Br)S)C1=C(C(=O)C=C(C1=O)C(=O)C)CCl	No_5_141,10/000000121,"InChI=1S/C14H9BrClNO4S/c1-5(18)6-2-8(19)7(3-16)10(13(6)20)12-14(21)11(15)9(22)4-17-12/h2,4,21-22H,3H2,1H3",C14H9NO4SClBr,402.0,1.38,5.2,6.53,24.5,-180.0,3.751121500422831,1,HIGHDIVERSITY_CONCAT
Oc1cc(C#CCCc2ccccc2)cc(c1)N1C(=O)NCC1	No_2_57,28/000000378,"InChI=1S/C19H18N2O2/c22-18-13-16(9-5-4-8-15-6-2-1-3-7-15)12-17(14-18)21-11-10-20-19(21)23/h1-3,6-7,12-14,22H,4,8,10-11H2,(H,20,23)",C19H18N2O2,306.0,3.03,5.2,2.73,18.8,-120.0,2.5348160071873806,1,HIGHDIVERSITY_CONCAT
O=NC(=O)c1cc(c(c(c1)O)Br)C[C@H](c1nn[nH]n1)Cl	No_4_28,12/000000749,"InChI=1S/C10H7BrClN5O3/c11-8-4(2-6(12)9-13-16-17-14-9)1-5(3-7(8)18)10(19)15-20/h1,3,6,18H,2H2,(H,13,14,16,17)/t6-/m1/s1",C10H7N5O3ClBr,360.0,2.63,5.19,4.97,3.85,-150.0,3.874607957219887,1,HIGHDIVERSITY_CONCAT
OCCN(CC#CCCc1cc(C(=O)N=O)cc(c1Br)O)C	No_4_672,12/000000870,"InChI=1S/C15H17BrN2O4/c1-18(7-8-19)6-4-2-3-5-11-9-12(15(21)17-22)10-13(20)14(11)16/h9-10,19-20H,3,5-8H2,1H3",C15H17N2O4Br,369.0,1.66,5.19,5.39,5.21,-80.0,3.3385041264175266,1,HIGHDIVERSITY_CONCAT
OC(=O)c1cc(ON)c(c(c1)C[C@H](c1ncncc1)N)Br	No_5_400,12/000000642,"InChI=1S/C13H13BrN4O3/c14-12-7(3-8(13(19)20)5-11(12)21-16)4-9(15)10-1-2-17-6-18-10/h1-3,5-6,9H,4,15-16H2,(H,19,20)/t9-/m1/s1",C13H13N4O3Br,353.0,-0.14,5.19,5.52,2.64,-150.0,3.3757878054098844,1,HIGHDIVERSITY_CONCAT
