rank,molecule_name,score,smiles,library,Ligand_name,tautomer_id
1,Druglike_1497-1_out,-11.495,CCc1cc(=O)c2ccc(Nc3cccc4ncoc34)cc2[nH]1,Druglike,Druglike_1497,1
2,Druglike_33-1_out,-11.44,CCC#CCNCc1cc(-c2ccc(C(=O)c3noc(=O)[nH]3)[nH]2)ccc1Cl,Druglike,Druglike_33,1
3,Druglike_176-1_out,-11.297,Nc1cnc(C2=COCC=C2)cc1C#Cc1cc(F)ccc1C(=O)[O-],Druglike,Druglike_176,1
4,Druglike_1153-1_out,-11.111,O=C(c1cc([O-])[nH]n1)c1ncc(/C=C/c2cccc(Cl)c2)cn1,Druglike,Druglike_1153,1
5,Druglike_245-1_out,-10.995,Oc1ccc(F)cc1C#Cc1cncc(C2=CCC=CN2)c1,Druglike,Druglike_245,1
6,Druglike_38-1_out,-10.977,C/C=C/c1cc(-c2ccc(C(=O)c3noc(=O)[nH]3)[nH]2)ccc1C,Druglike,Druglike_38,1
7,Druglike_1576-1_out,-10.959,O=c1cc[nH]c2cc(/C=C/c3ccc4nc[nH]c4n3)ccc12,Druglike,Druglike_1576,1
8,Druglike_1094-1_out,-10.957,O=C(c1ncc(/C=C/c2ccc(O)c(Cl)c2)cn1)c1n[nH]c(=O)o1,Druglike,Druglike_1094,1
9,Druglike_188-1_out,-10.938,O=C(Cc1cccc(C2=CN=CCN2)c1)c1ccc(Br)cc1[O-],Druglike,Druglike_188,1
10,Druglike_1096-1_out,-10.936,Cc1nc(C(=O)c2n[nH]c(=O)o2)ncc1/C=C/c1cc(Cl)ccc1CN,Druglike,Druglike_1096,1
11,HighDiv_1581-1_out,-10.932,C=Cc1c(C(N)=O)sc2ccc([S@](=O)c3cc(O)c(I)cc3O)cc12,HighDiv,HighDiv_1581,1
12,Druglike_1105-1_out,-10.922,O=C(c1ncc(/C=C/c2cc(O)cc(Cl)c2)cn1)c1n[nH]c(=O)o1,Druglike,Druglike_1105,1
13,Druglike_46-1_out,-10.914,C=CCN(C(N)=O)c1cccc(-c2ccc(C(=O)c3noc(=O)[nH]3)[nH]2)c1,Druglike,Druglike_46,1
14,Druglike_1583-2_out,-10.913,[NH3+]Cc1cc(=O)c2ccc(/C=C/c3ccc(=O)[nH]c3)cc2[nH]1,Druglike,Druglike_1583,2
15,Druglike_1095-1_out,-10.911,Nc1ccc(/C=C/c2cnc(C(=O)c3n[nH]c(=O)o3)nc2)cc1Cl,Druglike,Druglike_1095,1
16,Druglike_1461-1_out,-10.91,Cc1ccc(C(=O)C2=C(/C=C3\N=COC3=O)C(=O)[N-]C2=O)c([O-])c1,Druglike,Druglike_1461,1
17,Druglike_1060-1_out,-10.884,Cc1nc(C(=O)c2n[nH]c(=O)o2)ncc1/C=C/c1ccc(CO)c(Cl)c1,Druglike,Druglike_1060,1
18,Druglike_63-1_out,-10.882,C/C=C(/C)Cc1cc(-c2ccc(C(=O)c3noc(=O)[nH]3)[nH]2)ccc1O,Druglike,Druglike_63,1
19,Druglike_1079-1_out,-10.839,O=C(c1ncc(/C=C/c2cc(Cl)ccc2CO)cn1)c1n[nH]c(=O)o1,Druglike,Druglike_1079,1
20,Druglike_44-1_out,-10.787,CC(=O)c1cc(-c2ccc(C(=O)c3noc(=O)[nH]3)[nH]2)ccc1C,Druglike,Druglike_44,1
21,Druglike_1059-1_out,-10.787,Cc1nc(C(=O)c2n[nH]c(=O)o2)ncc1/C=C/c1ccc(CN)c(Cl)c1,Druglike,Druglike_1059,1
22,Druglike_69-1_out,-10.76,CCC#CCNCc1cccc(-c2ccc(C(=O)c3noc(=O)[nH]3)[nH]2)c1,Druglike,Druglike_69,1
23,Druglike_1124-1_out,-10.756,Cc1nc(C(=O)c2n[nH]c(=O)o2)ncc1/C=C/c1cc(Cl)ccc1N,Druglike,Druglike_1124,1
24,Druglike_1050-1_out,-10.753,O=C(c1ncc(/C=C/c2ccc(CO)c(Cl)c2)cn1)c1n[nH]c(=O)o1,Druglike,Druglike_1050,1
25,Druglike_85-1_out,-10.735,Cc1ccc(-c2ccc(C(=O)c3noc(=O)[nH]3)[nH]2)cc1NC(N)=O,Druglike,Druglike_85,1
26,Druglike_26-1_out,-10.734,C=C(C)c1cc(-c2ccc(C(=O)c3noc(=O)[nH]3)[nH]2)ccc1CF,Druglike,Druglike_26,1
27,Druglike_1114-1_out,-10.728,Cc1nc(C(=O)c2n[nH]c(=O)o2)ncc1/C=C/c1ccc(O)c(Cl)c1,Druglike,Druglike_1114,1
28,HighDiv_1349-1_out,-10.716,C=C(c1cccc(Nc2cccc3c2NCC(=O)N3)c1O)[N+](=O)[O-],HighDiv,HighDiv_1349,1
29,HighDiv_1240-1_out,-10.702,[O-]c1cncc(-c2nnc(CCc3ccc4c(c3)CCC4)s2)c1CS,HighDiv,HighDiv_1240,1
30,Druglike_1928-1_out,-10.691,NC(=O)c1cnc2c([C@H](F)c3ccc4oncc4c3)c[nH]c2n1,Druglike,Druglike_1928,1
