ID_Control;SMILES_curated;IC50 (nM)
ID_001;CONC(=O)c1c(C)c(-c2ccc(-c3ccccc3F)cc2)nc2ccc(F)cc12;0.12
ID_002;Cc1ccccc1NC(=O)c1cc(F)c(-c2cn(C)c(C(C)(C)O)n2)cc1O[C@@H](C)C(F)(F)F;0.179
ID_003;Cc1ccccc1-n1cc(C(C)C)c2cc(-c3ccc(C)c(N)n3)c(F)cc2c1=O;0.18
ID_004;Cc1n[nH]c(Cl)c1NC(=O)c1cc(F)c(-c2ccc3c(n2)NCCC3)cc1O[C@@H](C)C(F)(F)F;0.181
ID_005;C[C@H](Oc1cc(-c2cn(C)c(C(C)(C)O)n2)c(F)cc1C(=O)Nc1c(F)cccc1Cl)C(F)(F)F;0.19
ID_006;Cc1n[nH]c(Cl)c1NC(=O)c1cc(F)c(-c2ccc(F)c(CO)n2)cc1OC(C)C(F)(F)F;0.191
ID_007;Cc1n[nH]c(C(F)(F)F)c1NC(=O)c1cc(F)c(-c2ccc(Cl)c(N)n2)cc1O[C@@H](C)C(F)(F)F;0.192
ID_008;Cc1n[nH]c(C(F)(F)F)c1NC(=O)c1cc(F)c(-c2ccc(Cl)c(N)n2)cc1OC(C)C(F)(F)F;0.192
ID_009;Cc1n[nH]c(Cl)c1NC(=O)c1cc(F)c(-c2cn(C)c(C(C)O)n2)cc1O[C@@H](C)C(F)(F)F;0.193
ID_010;Cc1ccc(-c2cc(O[C@@H](C)C(F)(F)F)c(C(=O)Nc3c(F)cccc3Cl)cc2F)nc1N;0.195
ID_011;CCn1c(CO)nn(-c2nc(O[C@@H](C)C(F)(F)F)c3c(Oc4c(F)cccc4Cl)nncc3c2F)c1=O;0.2
ID_012;C[C@H](Oc1cc(-c2ccc3c(n2)NCCC3)c(F)cc1C(=O)Nc1c(F)cccc1Cl)C(F)(F)F;0.202
ID_013;Cc1cc(N)nc(-c2cc(O[C@@H](C)C(F)(F)F)c(C(=O)Nc3c(C)n[nH]c3Cl)cc2F)c1;0.208
ID_014;Cc1n[nH]c(C(F)(F)F)c1NC(=O)c1cc(F)c(-c2ccc(F)c(CO)n2)cc1OC(C)C(F)(F)F;0.211
ID_015;CC(=N)/C(NC(=O)c1cc(F)c(-c2ccc(C(F)(F)F)c(N)n2)cc1O[C@@H](C)C(F)(F)F)=C(\N)Cl;0.214
ID_016;Cc1n[nH]c(Cl)c1NC(=O)c1cc(F)c(-c2ccc(C(F)(F)F)c(N)n2)cc1OC(C)C;0.215
ID_017;Cc1ncc(-c2cc(O[C@@H](C)C(F)(F)F)c(C(=O)Nc3c(Cl)n[nH]c3C)cc2F)nc1CO;0.219
ID_018;Cc1cn(-c2cc(O[C@@H](C)C(F)(F)F)c(C(=O)Nc3c(C)n[nH]c3Cl)cc2F)nc1[C@@H](C)O;0.22
ID_019;CCn1c(CO)nn(-c2cc3c(C(C)C)cn(-c4c(F)cccc4Cl)c(=O)c3cc2F)c1=O;0.222
ID_020;C=C(c1cn(-c2ccccc2C)c(=O)c2cc(F)c(-n3nc(CO)n(CC)c3=O)cc12)C(F)(F)F;0.226
ID_021;Cc1n[nH]c(Cl)c1NC(=O)c1cc(F)c(-c2ccc(C3CC3)cn2)cc1OC(C)C(F)(F)F;0.229
ID_022;C[C@H](Oc1cc(-c2nc(C(C)(C)O)n(C)n2)c(F)cc1C(=O)Nc1c(F)cccc1Cl)C(F)(F)F;0.237
ID_023;C=C(C)c1cn(-c2cccc(OC)c2Cl)c(=O)c2cc(F)c(-n3nc(CO)n(CC)c3=O)cc12;0.24
ID_024;CC(=N)/C(NC(=O)c1cc(F)c(-c2ccc(Cl)c(CO)n2)cc1O[C@@H](C)C(F)(F)F)=C(\N)Cl;0.243
ID_025;Cc1ncc(-c2cc(O[C@@H](C)C(F)(F)F)c(C(=O)Nc3c(F)cccc3Cl)cc2F)nc1CO;0.246
ID_026;C=C(C)c1cn(-c2cc(F)ccc2C)c(=O)c2cc(F)c(-n3nc(CO)n(CC)c3=O)cc12;0.249
ID_027;Cc1ccccc1NC(=O)c1cc(F)c(-c2ccc(Cl)c(CO)n2)cc1O[C@@H](C)C(F)(F)F;0.251
ID_028;CCn1c(CO)nn(-c2cc3c(cc2F)O[C@@H](c2c(F)cccc2Cl)CN3C(C)C)c1=O;0.256
ID_029;Cc1[nH]nc(Cl)c1NC(=O)c1cc(F)c(-c2nc(CO)n(C)n2)cc1O[C@@H](C)C(F)(F)F;0.259
ID_030;CCn1c(C(N)=O)nn(-c2cc(O[C@@H](C)C(F)(F)F)c(C(=O)Nc3c(F)cccc3Cl)cc2F)c1=O;3.0
ID_031;CCn1c(CO)nn(-c2cc(O[C@@H](C)C(F)(F)F)c(C(=O)Nc3c(Cl)cccc3Cl)cc2F)c1=O;3.0
ID_032;Cc1c(-c2ccc(-c3ccccc3F)cc2)nc2ccc(F)cc2c1C(=O)O;3.0
ID_033;CCn1c(CO)nn(-c2cc3c(C(C)C)cn(-c4nc(C)ccc4Cl)c(=O)c3cc2F)c1=O;3.07
ID_034;Nc1cccc(-c2ccc(-n3nnc4c3C(=O)c3ccccc3C4=O)cc2)c1;3.1
ID_035;CCC[C@H](C)Oc1cc(-n2nc(CO)n(C)c2=O)c(F)cc1C(=O)Nc1c(F)cccc1Cl;3.2
ID_036;Cc1cccc(Cl)c1NC(=O)c1cc(F)c(-n2nc3n(c2=O)CCCOC3)cc1O[C@@H](C)C(F)(F)F;3.2
ID_037;CCn1c(CO)nn(-c2ccc3c(=O)n(-c4ccccc4Cl)nc(C(C)C)c3c2)c1=O;3.21
ID_038;Cc1n[nH]c(Cl)c1NC(=O)c1cc(F)c(-c2cccc(O)n2)cc1O[C@@H](C)C(F)(F)F;3.22
ID_039;CC(O)c1sc(-c2cc(O[C@@H](C)C(F)(F)F)c(C(=O)Nc3c(F)cccc3Cl)cc2F)nc1CF;3.26
ID_040;O=C(Nc1c(F)c(F)c(-c2cccc(OCCCO)c2)c(F)c1F)c1c(O)nn2ccccc12;3.29
ID_041;COc1cc(C)c(NC(=O)c2cc(F)c(-n3nc4n(c3=O)CCCC4)cc2O[C@@H](C)C2CCCCC2)cn1;3.3
ID_042;C[C@H](Oc1cc(-n2nc3n(c2=O)CCCC3)c(F)cc1C(=O)Nc1c(F)cc(O)cc1F)C(F)(F)F;3.4
ID_043;O=C(Nc1c(F)c(F)c(-c2ccccc2)c(F)c1F)c1c(O)nn2c(Cl)cccc12;3.4
ID_044;CCn1c(CO)nn(-c2ccc3c(=O)n(-c4c(F)cccc4Cl)cc(C(C)C)c3c2)c1=O;3.46
ID_045;C[C@H](Oc1cc(-n2nc3n(c2=O)CCCC3)c(F)cc1C(=O)Nc1c(F)cccc1Cl)C(F)(F)F;3.5
ID_046;Cc1ccccc1-n1ncc2c1CCCC2NC(=O)c1noc2c1CCCC2;3.5
ID_047;Cc1ccnc(Cl)c1NC(=O)c1cc(F)c(-c2cnc(C3CC3)cn2)cc1O[C@@H](C)C(F)(F)F;3.5
ID_048;C[C@H](O)c1nn(-c2cc(O[C@@H](C)C(F)(F)F)c(C(=O)Nc3c(Cl)cccc3Cl)cc2F)c(=O)n1C;3.5
ID_049;Cc1cc(C(=O)O)c2nc(-c3c(F)c(F)c(-c4ccccc4F)c(F)c3F)[nH]c2c1;3.5
ID_050;Cc1cnc(-c2cc(OC(C)C(F)(F)F)c(C(=O)Nc3c(F)cccc3Cl)cc2F)cn1;3.52
ID_051;CCn1c(CO)nn(-c2cc3c(C(C)C)cn([C@@H]4CCCC[C@@H]4C)c(=O)c3cc2F)c1=O;3.54
ID_052;CCn1c(CO)nn(-c2cc3c(C(C)C)cn(-c4c(C)ccnc4Cl)c(=O)c3cc2F)c1=O;3.57
ID_053;Cc1cnc(-c2cc3c(C(C)C)cn(-c4ccccc4C)c(=O)c3cc2F)cc1N;3.6
ID_054;CCn1c(CO)nn(-c2cc3c(cc2F)C(C)=C(c2ccccc2C)CN3C(C)C)c1=O;3.71
ID_055;CCn1c(CO)nn(-c2cc3c(C(C)C)cn(-c4cnsc4C)c(=O)c3cc2F)c1=O;3.72
ID_056;C[C@H](Oc1cc(-n2nc3ccccn3c2=O)c(F)cc1C(=O)Nc1ccccc1F)c1ccccc1;3.8
ID_057;C[C@H](Oc1cc(-n2nc(C(C)(C)O)n(C)c2=O)ccc1C(=O)Nc1c(F)cccc1Cl)C(F)(F)F;3.9
ID_058;Cc1n[nH]c(Cl)c1NC(=O)c1cc(F)c(-c2cn3c(n2)[C@](C)(O)CC3)cc1OC(C)C(F)(F)F;3.92
ID_059;Cc1n[nH]c(Cl)c1NC(=O)c1cc(F)c(-c2nc(C(C)(C)O)c(C)s2)cc1OC(C)C(F)(F)F;3.94
ID_060;Cc1c(-c2ccccc2Cl)cc(F)c(Nc2ncccc2C(=O)O)c1F;4.0
ID_061;O=C(O)c1cc(C2CC2)cnc1Nc1c(F)cc(-c2cccc(OC(F)(F)F)c2)cc1F;4.0
ID_062;Cc1cccc(-n2ncc3c2CCCC3NC(=O)c2noc3c2CCCC3)c1C;4.0
ID_063;O=C(O)C1=C(C(=O)Nc2c(F)c(F)c(-c3cccc(OC(F)(F)F)c3)c(F)c2F)CSC1;4.0
ID_064;O=C(O)c1cc(C2CC2)ccc1Nc1ccc(-c2ccccc2Cl)nc1;4.0
ID_065;CCc1nc(-c2cc(O[C@@H](C)C(F)(F)F)c(C(=O)Nc3c(F)cccc3Cl)cc2F)sc1CO;4.01
ID_066;Cc1n[nH]c(C(F)(F)F)c1-c1cc(C(C)C)c2cc(-c3cn(C)c(C(C)(C)O)n3)c(F)cn2c1=O;4.07
ID_067;CCCOc1cccc(-c2c(F)c(F)c(NC(=O)c3c(O)nn4ccccc34)c(F)c2F)c1;4.09
ID_068;C[C@H](Oc1cc(-n2nc3n(c2=O)CCCOC3)c(F)cc1C(=O)Nc1c(Cl)cc(F)cc1Cl)C(F)(F)F;4.1
ID_069;O=C(O)c1[nH]c(=O)[nH]c(=O)c1CCc1cc2ccccc2c2ccccc12;4.1
ID_070;COc1cc(-n2nnc3c2C(=O)c2ccccc2C3=O)ccc1-c1ccccc1;4.1
ID_071;CCn1c(CO)nn(-c2cc(O[C@@H](C)C(F)(F)F)c(C(=O)Nc3c(F)cccc3Cl)cc2F)c1=O;4.17
ID_072;CCONC(=O)c1c(C)c(-c2ccc(-c3ccccc3F)cc2)nc2ccc(F)cc12;4.2
ID_073;Cc1nc(-c2cc(O[C@@H](C)C(F)(F)F)c(C(=O)Nc3c(F)cccc3Cl)cc2F)cnc1CO;4.28
