ID_Control,SMILES_curated,IC50 (nM),cluster
ID_031,CCn1c(CO)nn(-c2cc(O[C@@H](C)C(F)(F)F)c(C(=O)Nc3c(Cl)cccc3Cl)cc2F)c1=O,3.0,0.0
ID_866,CCn1c(CO)nn(-c2nc3c(C(C)C)cn(-c4ccccc4C)c(=O)c3cc2F)c1=O,0.623,1.0
ID_986,Cc1ccccc1NC(=O)c1cc(F)c(-c2nc([C@@H](C)O)n(C)n2)cc1O[C@@H](C)C(F)(F)F,2.05,2.0
ID_136,Cc1nc2c(C(=O)O)cc(-c3c(F)c(F)c(-c4ccccc4)c(F)c3F)cc2[nH]1,5.5,3.0
ID_103,Cc1ccc(Nc2cnc(-c3ccccc3F)c(C)c2)c(C(=O)O)c1,5.0,4.0
ID_1000,O=C(Nc1c(F)c(F)c(-c2cccc(OC(F)(F)F)c2)c(F)c1F)c1c(O)nn2ccccc12,2.3,5.0
ID_189,Cc1c(-c2ccc(-c3ccccc3)cc2)nc2ccc(F)cc2c1C(=O)O,7.0,6.0
ID_286,COc1cccc(-c2cc(F)c(Nc3ncc(C)cc3C(=O)O)c(F)c2)c1,12.0,7.0
ID_930,Cc1ccccc1-n1ncc2c1CCC[C@H]2NC(=O)c1noc2c1CCCC2,1.2,8.0
ID_240,Cc1cccnc1NC(=O)c1cc(F)c(-n2nc3n(c2=O)CCCC3)cc1O[C@@H](C)C1CCCCC1,9.5,9.0
ID_905,O=C(O)c1[nH]c(=O)[nH]c(=O)c1CCc1ccc(-c2ccccc2)cc1,0.97,10.0
ID_585,Cc1sc(N(C)/N=C/c2ccccc2C(=O)O)nc1-c1ccccc1Cl,35.5,11.0
ID_931,O=C1c2ccccc2C(=O)c2c1nnn2-c1cc(F)c(-c2cc(CO)ccc2F)c(F)c1,1.2,12.0
ID_782,CCC(=O)C(C#N)C(=O)Nc1ccc(-c2ccccc2)c(C(=O)OC)c1,73.0,13.0
ID_944,Cc1ccc(Cl)c(-n2cc(C(C)C)c3cc(-c4cn(C)c(C(C)(C)O)n4)c(F)cc3c2=O)n1,1.4,14.0
ID_476,C/C(O)=C(\C#N)C(=O)Nc1cc(OC(C)C)c(C(=O)Nc2c(F)cccc2Cl)cc1F,22.0,15.0
ID_865,Cc1[nH]nc(Cl)c1NC(=O)c1cc(F)c(-c2cnc(C3CC3)cn2)cc1O[C@@H](C)C(F)(F)F,0.62,16.0
ID_382,O=C(O)C1=C(C(=O)Nc2c(F)cc(-c3cccc(OC(F)(F)F)c3)cc2F)CSC1,15.0,17.0
ID_742,CCOC(=O)c1sc(Nc2ccc(C)c(C)c2)nc1-c1ccccc1,58.0,18.0
ID_962,CCn1c(CO)nn(-c2ccc3c(=O)n(-c4c(F)cccc4Cl)cc(C4(C)CC4)c3c2)c1=O,1.65,19.0
ID_314,Cc1cc(C(=O)O)c2[nH]c(-c3c(F)c(F)c(-c4cccc(OCc5ccccc5)c4)c(F)c3F)nc2c1,13.6,20.0
ID_277,O=C(O)C1=C(C(=O)Nc2ccc(OCc3c(F)cccc3Cl)c(Cl)c2)CCC1,11.0,21.0
ID_475,Cc1ncccc1-c1ccc(-c2cc(C(=O)O)c3ccccc3n2)cc1,22.0,22.0
ID_224,CCOc1ccccc1-c1cc(F)c(NC(=O)c2ccsc2C(=O)O)c(F)c1,9.0,23.0
ID_890,CCc1cnc(-n2nc(OC(C)C)c(Oc3c(F)cccc3F)c2C)nc1,0.794328,24.0
ID_625,C/C(=C\c1ccc2ccccc2c1F)C(=O)Nc1ccc(F)cc1C(=O)O,44.0,25.0
ID_172,CC(=N)/C(NC(=O)c1cc(F)c(-c2nc(N)ccc2Cl)cc1O[C@@H](C)C(F)(F)F)=C(\N)Cl,6.31,26.0
ID_992,Cc1n[nH]c(Cl)c1-c1cc(C(C)C)c2cc(-c3nc(C(C)(C)O)n(C)n3)c(F)cn2c1=O,2.1,27.0
ID_700,Cc1cc(=O)n2[nH]c(SCc3cc(Cl)ccc3Cl)nc2n1,51.0,28.0
ID_719,CC(C)C[C@H](C)Oc1cc(-n2nc(C(C)C)n(C)c2=O)c(F)cc1C(=O)NC1CCNCC1,55.0,29.0
ID_060,Cc1c(-c2ccccc2Cl)cc(F)c(Nc2ncccc2C(=O)O)c1F,4.0,30.0
ID_296,CC(=O)Nc1ccc(COc2ccc(-c3ccc(-c4nc5c(C(=O)O)cc(C)cc5[nH]4)cc3)cc2)cc1,13.0,31.0
ID_213,COc1ccccc1-c1c(F)c(F)c(NC(=O)C2=C(C(=O)O)CCC2)c(F)c1F,8.0,32.0
ID_795,Cc1cc(C(=O)O)c2c(c1)nc(-c1c(F)c(F)c(-c3ccc(O)cc3)c(F)c1F)n2CCO,78.0,33.0
ID_236,O=C(O)c1cc(C2CC2)cnc1Nc1ccc2c(ccn2-c2ccccc2)c1,9.0,34.0
ID_911,Cc1cc(Oc2ccccc2)c(C(C)C)cc1-c1cc(C(=O)O)c2cc(F)ccc2n1,1.0,35.0
ID_831,Cc1ncsc1-c1ccc(CNC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC(=O)OCCOCCOCCOc2ccc(-c3ccc(-c4nc5ccc(F)cc5c(C(=O)O)c4C)cc3)c(F)c2)C(C)(C)C)cc1,93.0,36.0
ID_784,C=C1CC[C@H](O)C(C)(C)[C@@H]1CC/C(C)=C/Cc1c(O)c(Cl)c(C)c(C=O)c1O,74.0,37.0
ID_781,CCNC(=O)Nc1ccc(S(=O)(=O)Oc2ccccc2CC)cc1,72.0,38.0
ID_760,C/C(O)=C(\C#N)C(=O)Nc1ccc(C(F)(F)F)cc1,64.0,39.0
ID_683,Cc1ccc(/C=C2\COc3cc4ccccc4cc3C2=O)cc1,48.0,40.0
