ID,library,SMILES,Name,Formula,MW,LogP,pKd,score,z_pkd,z_vina,consensus_z,SA_Score,Structure,Synthesize,Chemical,Dataset
Druglike_1,Druglike,NC1=C2C=NNC2=NC([C@@H](/C=C/CC2=NC(CCCl)=CC=C2)C(=O)O)=N1,21/000000020,C17H17N6O2Cl,372.0,2.17,6.45,-9.496,6.042541638961546,1.3434207149562007,3.6929811769588734,3.895023828574288,6.97,24.1,-190.0,DRUGLIKE_CONCAT
HighDiv_4,HighDiv,NOC1=CC(C(=O)O)=CC(OC/C=C/[C@@H]2NNC3=C2C=CC=C3)=C1Br,12/000001403,C17H16N3O4Br,406.0,2.98,5.86,-10.609,4.310268350224781,2.5709901125262684,3.440629231375525,3.7090264631090015,7.55,21.3,-190.0,HIGHDIVERSITY_CONCAT
HighDiv_1581,HighDiv,C=CC1=C(C(N)=O)SC2=CC=C([S@+]([O-])C3=CC(O)=C(I)C=C3O)C=C12,12/000000150,C17H12NO4S2I,485.0,2.13,5.68,-10.932,3.7817781943389868,2.927238913438337,3.354508553888662,3.8807178817566346,6.18,24.8,-40.0,HIGHDIVERSITY_LANAPDB
HighDiv_1,HighDiv,C[C@H](CN)CC#CC1=CC(C(=O)CO)=CC(N=O)=C1Br,12/000000691,C14H16N2O3Br,340.0,1.76,6.1,-9.375,5.014921891405836,1.2099652817971902,3.1124435866015134,4.386506045797975,5.24,20.7,-170.0,HIGHDIVERSITY_CONCAT
Druglike_2,Druglike,NC1=C2C=NNC2=NC([C@@H](/C=C/CC2=NC=CC=C2CCBr)C(=O)O)=N1,21/000000030,C17H17N6O2Br,417.0,2.42,6.04,-9.526,4.838758506110573,1.3765088388799216,3.1076336724952474,3.9780202942707534,5.01,24.1,-190.0,DRUGLIKE_CONCAT
HighDiv_1580,HighDiv,NCC1=C(C(N)=O)SC2=CC=C([S@+]([O-])C3=CC(O)=C(I)C=C3O)C=C12,12/000000275,C16H13N2O4S2I,488.0,0.73,5.68,-10.226,3.7817781943389868,2.148565063766758,2.9651716290528727,3.7832063432950953,6.63,24.6,-40.0,HIGHDIVERSITY_LANAPDB
HighDiv_1934,HighDiv,CNC(=O)C1=NC(C2=C(ON)C(F)=CC(CCN3N=CC=C3O)=C2)=CN1,27/000000362,C16H17N6O3F,360.0,0.87,6.11,-9.037,5.044282455621715,0.8371724189232621,2.9407274372724888,3.5544044104331025,4.01,3.58,-160.0,HIGHDIVERSITY_MAYBRIDGE
Druglike_1050,Druglike,O=C(C1=NC=C(/C=C/C2=CC=C(CO)C(Cl)=C2)C=N1)C1=NNC(=O)O1,12/000000217,C16H11N4O4Cl,358.0,1.75,5.43,-10.753,3.0477640889420523,2.7298131073601315,2.888788598151092,3.124378863478918,4.54,4.94,0.0,DRUGLIKE_CRAFT
Druglike_1052,Druglike,NCC1=CC=C(/C=C/C2=CN=C(C(=O)C3=NNC(=O)O3)N=C2)C=C1Cl,12/000000223,C16H12N5O3Cl,357.0,1.68,5.42,-10.684,3.0184035247261756,2.653710422335571,2.8360569735308734,3.1360973900227966,4.34,4.94,0.0,DRUGLIKE_CRAFT
Druglike_1051,Druglike,NCC1=CC=C(/C=C/C2=CN=C(C(=O)C3=NNC(=O)O3)N=C2)C=C1Cl,12/000000231,C16H13N5O3Cl,358.0,1.68,5.42,-10.684,3.0184035247261756,2.653710422335571,2.8360569735308734,3.5547836305428397,4.16,4.94,0.0,DRUGLIKE_CRAFT
HighDiv_1586,HighDiv,CC1=C(C(N)=O)SC2=CC=C([S@+]([O-])C3=CC(O)=C(I)C=C3O)C=C12,12/000000072,C16H12NO4S2I,473.0,1.84,5.4,-10.63,2.959682396294422,2.594151799272874,2.776917097783648,3.579204277276241,5.52,23.2,-60.0,HIGHDIVERSITY_LANAPDB
Druglike_33,Druglike,CCC#CCNCC1=CC(C2=CC=C(C(=O)C3=NC(=O)ON3)N2)=CC=C1Cl,23/000000406,C19H17N4O3Cl,384.0,2.81,5.08,-11.44,2.020144341386345,3.4875311452133535,2.753837743299849,3.307677010789071,4.98,4.94,-140.0,DRUGLIKE_CONCAT
HighDiv_1582,HighDiv,NC(=O)C1=C(CO)C2=CC([S@+]([O-])C3=CC(O)=C(I)C=C3O)=CC=C2S1,12/000000297,C16H12NO5S2I,489.0,0.8,5.5,-10.293,3.253288038453195,2.2224618738630677,2.737874956158131,3.7643389224806167,6.07,24.4,-40.0,HIGHDIVERSITY_LANAPDB
HighDiv_1583,HighDiv,COC1=C(I)C=C(O)C([S@@+]([O-])C2=CC=C3SC(C(N)=O)=CC3=C2)=C1,12/000000213,C16H12NO4S2I,473.0,2.01,5.48,-10.287,3.1945669100214413,2.215844249078325,2.705205579549883,3.4831897210632228,7.39,23.2,-60.0,HIGHDIVERSITY_LANAPDB
Druglike_1060,Druglike,CC1=NC(C(=O)C2=NNC(=O)O2)=NC=C1/C=C/C1=CC=C(CO)C(Cl)=C1,12/000000256,C17H13N4O4Cl,372.0,2.07,5.25,-10.884,2.5192739330562604,2.8742979151603825,2.6967859241083216,3.239785653847222,6.25,4.94,-20.0,DRUGLIKE_CRAFT
Druglike_1059,Druglike,CC1=NC(C(=O)C2=NNC(=O)O2)=NC=C1/C=C/C1=CC=C(CN)C(Cl)=C1,12/000000259,C17H14N5O3Cl,371.0,2.0,5.28,-10.787,2.6073556257038932,2.7673129811403503,2.687334303422122,3.2511831248693515,5.36,4.94,-20.0,DRUGLIKE_CRAFT
Druglike_1718,Druglike,O=C(O)C1=CC(C(=O)C/C=C/C2CCCCC2)=C(C(=O)O)N1,5/000000076,C16H18NO5,304.0,1.42,5.61,-9.87,3.576254244827847,1.7559193265385942,2.6660867856832207,3.0432123861905396,6.75,3.84,-150.0,DRUGLIKE_MAYBRIDGE
HighDiv_1584,HighDiv,NCC1=C(C(N)=O)SC2=CC=C([S@+]([O-])C3=CC(O)=C(I)C=C3O)C=C12,12/000000208,C16H14N2O4S2I,489.0,0.73,5.46,-10.226,3.135845781589685,2.148565063766758,2.642205422678222,4.16878507632677,6.53,24.6,-40.0,HIGHDIVERSITY_LANAPDB
HighDiv_2,HighDiv,O=NC(=O)C1=CC=C(Br)C(C[C@@H](Cl)C2=NN(CS)C(=S)N2)=C1,12/000000358,C12H10N4O2S2ClBr421,3.61,4.04,5.95,-8.902,4.574513428167677,0.6882758612665135,2.631394644717095,4.114283351183039,5.08,-179.0,,HIGHDIVERSITY_CONCAT
HighDiv_1937,HighDiv,CNC(=O)C1=NC(C2=CC(CCC3=CC=CN3)=CC(F)=C2ON)=CN1,27/000000324,C17H18N5O2F,343.0,1.07,5.77,-9.273,4.046023272281883,1.0974656604565367,2.5717444663692097,3.4354356348765336,3.82,3.58,-140.0,HIGHDIVERSITY_MAYBRIDGE
