SMILES,Name,InChI,Formula,MW,LogP,pKd,Structure,Synthesize,Chemical,SA_Score,SA_Score_Binary,Dataset,Database,HBA,HBD,TPSA,RotBonds,NumCarbons,NumOxygens,NumNitrogens,FractionCarbons,FractionOxygens,FractionNitrogens,CSP3,ChiralCarbonFraction,HeavyAtoms,NumRings,AliphaticRings,AromaticRings,Heterocycles,AliphaticHeterocycles,AromaticHeterocycles,SpiroAtoms,BridgeheadAtoms
NC1=C2C=NNC2=NC([C@@H](/C=C/CC2=NC(CCCl)=CC=C2)C(=O)O)=N1,21/000000020,"InChI=1S/C17H17ClN6O2/c18-8-7-11-4-1-3-10(21-11)5-2-6-12(17(25)26)15-22-14(19)13-9-20-24-16(13)23-15/h1-4,6,9,12H,5,7-8H2,(H,25,26)(H3,19,20,22,23,24)/b6-2+/t12-/m1/s1",C17H17N6O2Cl,372.110151464,2.0785,6.45,6.97,24.1,-190.0,3.895023828574288,1,DRUGLIKE_CONCAT,HsDHODH_Druglike,6,3,130.67000000000002,7,17,2,6,0.6538461538461539,0.07692307692307693,0.23076923076923078,0.23529411764705882,0.058823529411764705,26,3,0,3,3,0,3,0,0
NC1=C2C=NNC2=NC([C@@H](/C=C/CC2=NC=CC=C2CCBr)C(=O)O)=N1,21/000000030,"InChI=1S/C17H17BrN6O2/c18-7-6-10-3-2-8-20-13(10)5-1-4-11(17(25)26)15-22-14(19)12-9-21-24-16(12)23-15/h1-4,8-9,11H,5-7H2,(H,25,26)(H3,19,21,22,23,24)/b4-1+/t11-/m1/s1",C17H17N6O2Br,416.059635884,2.2346,6.04,5.01,24.1,-190.0,3.9780202942707534,1,DRUGLIKE_CONCAT,HsDHODH_Druglike,6,3,130.67000000000002,7,17,2,6,0.6538461538461539,0.07692307692307693,0.23076923076923078,0.23529411764705882,0.058823529411764705,26,3,0,3,3,0,3,0,0
O=C(O)C1=CN=C(O)N=C1C/C=C/C1=NC(Br)=C(Cl)C=C1,29/000000167,"InChI=1S/C13H9BrClN3O3/c14-11-9(15)5-4-7(17-11)2-1-3-10-8(12(19)20)6-16-13(21)18-10/h1-2,4-6H,3H2,(H,19,20)(H,16,18,21)/b2-1+",C13H9N3O3ClBr,368.95158092800006,2.9472000000000005,5.37,7.3,5.21,0.0,3.366447864464,1,DRUGLIKE_CONCAT,HsDHODH_Druglike,5,2,96.2,4,13,3,3,0.6190476190476191,0.14285714285714285,0.14285714285714285,0.07692307692307693,0.0,21,2,0,2,2,0,2,0,0
O=C(O)CC1=CC=CC(C2=CC=C(C(=O)C3=NC(=O)ON3)N2)=C1,23/000000301,"InChI=1S/C15H11N3O5/c19-12(20)7-8-2-1-3-9(6-8)10-4-5-11(16-10)13(21)14-17-15(22)23-18-14/h1-6,16H,7H2,(H,19,20)(H,17,18,22)",C15H11N3O5,313.0698704520001,1.2161,5.37,6.9,3.58,-120.0,2.8540777611395143,1,DRUGLIKE_CONCAT,HsDHODH_Druglike,5,3,129.04999999999998,5,15,5,3,0.6521739130434783,0.21739130434782608,0.13043478260869565,0.06666666666666667,0.0,23,3,0,3,2,0,2,0,0
O=C(C1=CC=C(C2=CC(CCO)=CC=C2)N1)C1=NC(=O)ON1,23/000000302,"InChI=1S/C15H13N3O4/c19-7-6-9-2-1-3-10(8-9)11-4-5-12(16-11)13(20)14-17-15(21)22-18-14/h1-5,8,16,19H,6-7H2,(H,17,18,21)",C15H13N3O4,299.09060589600006,1.1237999999999997,5.35,6.43,3.58,-120.0,2.906767313230713,1,DRUGLIKE_CONCAT,HsDHODH_Druglike,5,3,111.97999999999999,5,15,4,3,0.6818181818181818,0.18181818181818182,0.13636363636363635,0.13333333333333333,0.0,22,3,0,3,2,0,2,0,0
C=CC1=C(CCO)C=C(C2=CC=C(C(=O)C3=NC(=O)ON3)N2)C=C1,23/000000404,"InChI=1S/C17H15N3O4/c1-2-10-3-4-12(9-11(10)7-8-21)13-5-6-14(18-13)15(22)16-19-17(23)24-20-16/h2-6,9,18,21H,1,7-8H2,(H,19,20,23)",C17H15N3O4,325.10625596000006,1.7667999999999997,5.28,6.06,5.09,-120.0,3.234758369600878,1,DRUGLIKE_CONCAT,HsDHODH_Druglike,5,3,111.97999999999999,6,17,4,3,0.7083333333333334,0.16666666666666666,0.125,0.11764705882352941,0.0,24,3,0,3,2,0,2,0,0
NC1=C2C=NNC2=NC([C@@H](/C=C/CC2=NC=CC=C2O)CO)=N1,21/000000019,"InChI=1S/C15H16N6O2/c16-13-10-7-18-21-15(10)20-14(19-13)9(8-22)3-1-4-11-12(23)5-2-6-17-11/h1-3,5-7,9,22-23H,4,8H2,(H3,16,18,19,20,21)/b3-1+/t9-/m0/s1",C15H16N6O2,312.133473752,0.9104999999999996,5.22,4.13,20.2,-190.0,3.905465920816269,1,DRUGLIKE_CONCAT,HsDHODH_Druglike,7,4,133.83,5,15,2,6,0.6521739130434783,0.08695652173913043,0.2608695652173913,0.2,0.06666666666666667,23,3,0,3,3,0,3,0,0
O=C(CC1=CC(C2=CN=CCN2)=CC=C1C(=O)O)C1=CC=C(Br)C=C1O,3/000000259,"InChI=1S/C19H15BrN2O4/c20-13-2-4-15(18(24)9-13)17(23)8-12-7-11(1-3-14(12)19(25)26)16-10-21-5-6-22-16/h1-5,7,9-10,22,24H,6,8H2,(H,25,26)",C19H15N2O4Br,414.02151906000006,3.2507000000000015,5.22,7.04,5.08,-160.0,3.0233038835627113,1,DRUGLIKE_CONCAT,HsDHODH_Druglike,5,3,98.99000000000001,5,19,4,2,0.7307692307692307,0.15384615384615385,0.07692307692307693,0.10526315789473684,0.0,26,3,1,2,1,1,0,0,0
CC1=CC(CCCC2=C[C@@H](C(=O)O)C=C(C(=O)OCCN)O2)=CN=C1I,2/000000019,"InChI=1S/C18H21IN2O5/c1-11-7-12(10-21-16(11)19)3-2-4-14-8-13(17(22)23)9-15(26-14)18(24)25-6-5-20/h7-10,13H,2-6,20H2,1H3,(H,22,23)/t13-/m1/s1",C18H21N2O5I,472.04951977200005,2.3180199999999997,5.21,5.23,24.3,-170.0,3.991686406536865,1,DRUGLIKE_CONCAT,HsDHODH_Druglike,6,2,111.74,8,18,5,2,0.6923076923076923,0.19230769230769232,0.07692307692307693,0.3888888888888889,0.05555555555555555,26,2,1,1,2,1,1,0,0
C=CC1=CC=C(C2=CC=C(C(=O)C3=NC(=O)ON3)N2)C=C1I,23/000000470,"InChI=1S/C15H10IN3O3/c1-2-8-3-4-9(7-10(8)16)11-5-6-12(17-11)13(20)14-18-15(21)22-19-14/h2-7,17H,1H2,(H,18,19,21)",C15H10N3O3I,406.97668918,2.8366000000000007,5.2,5.76,3.58,-120.0,3.366353133861695,1,DRUGLIKE_CONCAT,HsDHODH_Druglike,4,2,91.75,4,15,3,3,0.6818181818181818,0.13636363636363635,0.13636363636363635,0.0,0.0,22,3,0,3,2,0,2,0,0
