SMILES,Name,InChI,Formula,MW,LogP,pKd,Structure,Synthesize,Chemical,SA_Score,SA_Score_Binary,Dataset,Database,HBA,HBD,TPSA,RotBonds,NumCarbons,NumOxygens,NumNitrogens,FractionCarbons,FractionOxygens,FractionNitrogens,CSP3,ChiralCarbonFraction,HeavyAtoms,NumRings,AliphaticRings,AromaticRings,Heterocycles,AliphaticHeterocycles,AromaticHeterocycles,SpiroAtoms,BridgeheadAtoms
C[C@H](CN)CC#CC1=CC(C(=O)CO)=CC(N=O)=C1Br,12/000000691,"InChI=1S/C14H15BrN2O3/c1-9(7-16)3-2-4-10-5-11(13(19)8-18)6-12(17-20)14(10)15/h5-6,9,18H,3,7-8,16H2,1H3/p+1/t9-/m0/s1",C14H16N2O3Br,338.02660444,2.3584000000000005,6.1,5.24,20.7,-170.0,4.386506045797975,1,HIGHDIVERSITY_CONCAT,HsDHODH_HighDiv,5,2,92.75,5,14,3,2,0.7,0.15,0.1,0.35714285714285715,0.07142857142857142,20,1,0,1,0,0,0,0,0
O=NC(=O)C1=CC=C(Br)C(C[C@@H](Cl)C2=NN(CS)C(=S)N2)=C1,12/000000358,"InChI=1S/C12H10BrClN4O2S2/c13-8-2-1-6(11(19)17-20)3-7(8)4-9(14)10-15-12(22)18(5-21)16-10/h1-3,9,21H,4-5H2,(H,15,16,22)/t9-/m1/s1",C12H10N4O2S2ClBr421,419.91170734000013,4.019690000000001,5.95,5.08,-179.0,,4.114283351183039,1,HIGHDIVERSITY_CONCAT,HsDHODH_HighDiv,6,2,80.10999999999999,5,12,2,4,0.5454545454545454,0.09090909090909091,0.18181818181818182,0.25,0.08333333333333333,22,2,0,2,1,0,1,0,0
O=NC1=C(Br)C(N2C=NN=C2S)=CC(C(=O)CO)=C1,12/000000088,"InChI=1S/C10H7BrN4O3S/c11-9-6(14-18)1-5(8(17)3-16)2-7(9)15-4-12-13-10(15)19/h1-2,4,16H,3H2,(H,13,19)",C10H7N4O3SBr,341.94222318399994,1.8913999999999993,5.92,5.03,22.6,-120.0,3.555365807429842,1,HIGHDIVERSITY_CONCAT,HsDHODH_HighDiv,8,2,97.44000000000001,4,10,3,4,0.5263157894736842,0.15789473684210525,0.21052631578947367,0.1,0.0,19,2,0,2,1,0,1,0,0
NOC1=CC(C(=O)O)=CC(OC/C=C/[C@@H]2NNC3=C2C=CC=C3)=C1Br,12/000001403,"InChI=1S/C17H16BrN3O4/c18-16-14(8-10(17(22)23)9-15(16)25-19)24-7-3-6-13-11-4-1-2-5-12(11)20-21-13/h1-6,8-9,13,20-21H,7,19H2,(H,22,23)/b6-3+/t13-/m0/s1",C17H16N3O4Br,405.03241809200006,3.0062000000000006,5.86,7.55,21.3,-190.0,3.7090264631090015,1,HIGHDIVERSITY_CONCAT,HsDHODH_HighDiv,6,4,105.84,6,17,4,3,0.68,0.16,0.12,0.11764705882352941,0.058823529411764705,25,3,1,2,1,1,0,0,0
NCCC(=O)C1=CC(=O)C(CCl)=C(C2=NC=CC(Br)=C2O)C1=O,10/000000184,"InChI=1S/C15H12BrClN2O4/c16-9-2-4-19-13(15(9)23)12-8(6-17)11(21)5-7(14(12)22)10(20)1-3-18/h2,4-5,23H,1,3,6,18H2",C15H12N2O4ClBr,397.9668966439999,1.5382,5.54,6.07,24.0,-160.0,3.500358879673586,1,HIGHDIVERSITY_CONCAT,HsDHODH_HighDiv,6,2,110.35000000000002,5,15,4,2,0.6521739130434783,0.17391304347826086,0.08695652173913043,0.2,0.0,23,2,1,1,1,0,1,0,0
NOC1=C(Br)C(C[C@@H](N)C2=NC=CC=C2)=CC(C(=O)O)=C1,12/000000612,"InChI=1S/C14H14BrN3O3/c15-13-8(5-9(14(19)20)7-12(13)21-17)6-10(16)11-3-1-2-4-18-11/h1-5,7,10H,6,16-17H2,(H,19,20)/t10-/m1/s1",C14H14N3O3Br,351.0218534079999,2.0373,5.51,5.51,2.64,-150.0,3.15532838896426,1,HIGHDIVERSITY_CONCAT,HsDHODH_HighDiv,5,3,111.46,5,14,3,3,0.6666666666666666,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.07142857142857142,21,2,0,2,1,0,1,0,0
C[C@@](O)(C#CCCC1=CC(C(=O)N=O)=CC(O)=C1Br)CO,12/000000752,"InChI=1S/C14H14BrNO5/c1-14(20,8-17)5-3-2-4-9-6-10(13(19)16-21)7-11(18)12(9)15/h6-7,17-18,20H,2,4,8H2,1H3/t14-/m1/s1",C14H14NO5Br,355.005534648,1.7406000000000001,5.45,5.9,5.21,-200.0,3.9617755375053743,1,HIGHDIVERSITY_CONCAT,HsDHODH_HighDiv,5,3,107.19,4,14,5,1,0.6666666666666666,0.23809523809523808,0.047619047619047616,0.35714285714285715,0.07142857142857142,21,1,0,1,0,0,0,0,0
NCC1=CC([C@H](/C=C/CNN)N=O)=CC=C1I,5/000000034,"InChI=1S/C11H15IN4O/c12-10-4-3-8(6-9(10)7-13)11(16-17)2-1-5-15-14/h1-4,6,11,15H,5,7,13-14H2/b2-1+/t11-/m0/s1",C11H15N4OI,346.0290591,1.5769000000000002,5.45,2.99,16.5,-150.0,4.238040683856478,1,HIGHDIVERSITY_CONCAT,HsDHODH_HighDiv,5,3,93.5,6,11,1,4,0.6470588235294118,0.058823529411764705,0.23529411764705882,0.2727272727272727,0.09090909090909091,17,1,0,1,0,0,0,0,0
CN(CC#CCCC1=CC(C(=O)N=O)=CC(O)=C1Br)CCS,12/000000805,"InChI=1S/C15H17BrN2O3S/c1-18(7-8-22)6-4-2-3-5-11-9-12(15(20)17-21)10-13(19)14(11)16/h9-10,19,22H,3,5-8H2,1H3",C15H17N2O3SBr,384.014325504,2.8589000000000016,5.44,5.52,5.21,-80.0,3.5452225879559887,1,HIGHDIVERSITY_CONCAT,HsDHODH_HighDiv,5,2,69.97,6,15,3,2,0.6818181818181818,0.13636363636363635,0.09090909090909091,0.4,0.0,22,1,0,1,0,0,0,0,0
N[C@@]1(C#CCCC2=C(Br)C(O)=CC(C(=O)N=O)=C2)CCN=CS1,12/000000807,"InChI=1S/C15H14BrN3O3S/c16-13-10(7-11(8-12(13)20)14(21)19-22)3-1-2-4-15(17)5-6-18-9-23-15/h7-9,20H,1,3,5-6,17H2/p+1/t15-/m1/s1",C15H15N3O3SBr,394.99392440800005,2.817500000000001,5.4,7.89,7.99,-150.0,4.816426738123962,1,HIGHDIVERSITY_CONCAT,HsDHODH_HighDiv,6,2,105.11,3,15,3,3,0.6521739130434783,0.13043478260869565,0.13043478260869565,0.3333333333333333,0.06666666666666667,23,2,1,1,1,1,0,0,0
