scaffold;frequency;mean_zscore;shrunk_zscore
c1ccccc1;941;-0.3581;-0.3567
O=C1NCCN1c1ccccc1;146;0.0341;0.0333
c1ccncc1;136;-0.5552;-0.541
O=C(c1ccc(-c2ccccc2)[nH]1)c1nc(=O)o[nH]1;101;1.4772;1.4267
c1ccc(-c2cn[nH]n2)cc1;91;-0.1959;-0.1885
c1ccc(-c2c[nH]cn2)cc1;84;0.5882;0.5642
c1cncnc1;60;-0.6194;-0.5846
O=c1ccc(-c2cnco2)n[nH]1;57;-0.0016;-0.0015
O=c1cc[nH]c(-c2ccccc2)c1;51;0.2668;0.2493
c1cnoc1;51;-1.0001;-0.9347
c1ccc(-c2ncn[nH]2)nc1;47;0.107;0.0994
c1ccc2c(c1)NCO2;39;-0.1464;-0.1341
c1ccc(-c2cccnc2)cc1;39;0.6713;0.615
c1cc[nH]c1;37;-0.8523;-0.7773
C(=CC1=CCCO1)Cc1ccno1;33;0.1107;0.0999
c1ccc(-c2ccccc2)cc1;32;0.4139;0.3723
O=c1cc[nH]c(-c2nnco2)c1;30;-0.1095;-0.0978
c1ccc(-c2cc[nH]c2)cc1;28;0.5138;0.4557
c1cocn1;25;-0.5753;-0.5034
c1cc(-c2cnc[nH]2)c[nH]1;24;-0.3091;-0.269
O=C(c1cc[nH]c1)c1ncc(C=Cc2ccccc2)cn1;22;0.873;0.7511
C1=COC=CC1;22;-0.5621;-0.4835
c1ccc(CCc2ccccc2)cc1;21;0.9021;0.771
c1ccc([SH+]c2ccccc2)cc1;21;0.2831;0.2419
O=C(c1ccc[nH]1)c1nc(=O)o[nH]1;21;-0.1776;-0.1517
O=C1C=CC(C=Cc2cccnc2)N1;20;0.1368;0.116
O=C(c1ncc(C=Cc2ccccc2)cn1)c1n[nH]c(=O)o1;19;2.22;1.8686
c1ccc(-c2ccno2)cc1;19;-0.3413;-0.2873
O=C1C=CC(=O)C(c2ccccc2)=C1;18;0.6926;0.5779
C(=Cc1nnc[nH]1)c1cccnc1;17;-0.1759;-0.1453
O=C(C#Cc1ccccc1)OC1CC=NC1;17;0.3947;0.3262
c1ccc(-c2ncno2)cc1;16;-0.2596;-0.2122
