SMILES,Name,InChI,Formula,MW,LogP,pKd,Structure,Synthesize,Chemical,SA_Score,SA_Score_Binary
OC(=O)[C@H](/C=C/Cc1nc(ccc1)CCCl)c1nc(N)c2c(n1)[nH]nc2	No_3_262,21/000000020,"InChI=1S/C17H17ClN6O2/c18-8-7-11-4-1-3-10(21-11)5-2-6-12(17(25)26)15-22-14(19)13-9-20-24-16(13)23-15/h1-4,6,9,12H,5,7-8H2,(H,25,26)(H3,19,20,22,23,24)/b6-2+/t12-/m1/s1",C17H17N6O2Cl,372,2.17,6.45,6.97,24.1,-190,3.8950238285742884,1
OC(=O)[C@H](/C=C/Cc1ncccc1CCBr)c1nc(N)c2c(n1)[nH]nc2	No_4_305,21/000000030,"InChI=1S/C17H17BrN6O2/c18-7-6-10-3-2-8-20-13(10)5-1-4-11(17(25)26)15-22-14(19)12-9-21-24-16(12)23-15/h1-4,8-9,11H,5-7H2,(H,25,26)(H3,19,21,22,23,24)/b4-1+/t11-/m1/s1",C17H17N6O2Br,417,2.42,6.04,5.01,24.1,-190,3.9780202942707534,1
OC(=O)C#Cc1c(I)nc(cc1)[C@@H](c1coc(c1)COCN)N	No_6_520,26/000000135,"InChI=1S/C15H14IN3O4/c16-15-9(2-4-13(20)21)1-3-12(19-15)14(18)10-5-11(23-6-10)7-22-8-17/h1,3,5-6,14H,7-8,17-18H2,(H,20,21)/t14-/m1/s1",C15H14N3O4I,427,0.67,5.42,2.91,24.5,-190,4.196951978508578,0
OC(=O)[C@H]1NC(=NC(=C1)C(=O)C)/C=C/CNCc1[nH]ncc1Br	No_7_380,18/000000048,"InChI=1S/C14H16BrN5O3/c1-8(21)10-5-11(14(22)23)19-13(18-10)3-2-4-16-7-12-9(15)6-17-20-12/h2-3,5-6,11,16H,4,7H2,1H3,(H,17,20)(H,18,19)(H,22,23)/b3-2+/t11-/m0/s1",C14H16N5O3Br,382,0.49,5.39,6.63,5.23,-170,4.325905103508578,0
Oc1ncc(c(n1)C/C=C/c1nc(Br)c(cc1)Cl)C(=O)O	No_2_469,29/000000167,"InChI=1S/C13H9BrClN3O3/c14-11-9(15)5-4-7(17-11)2-1-3-10-8(12(19)20)6-16-13(21)18-10/h1-2,4-6H,3H2,(H,19,20)(H,16,18,21)/b2-1+",C13H9N3O3ClBr,370,2.46,5.37,7.3,5.21,0,3.366447864464,1
OC(=O)Cc1cccc(c1)c1[nH]c(cc1)C(=O)c1nc(=O)o[nH]1	No_4_112,23/000000136,"InChI=1S/C15H11N3O5/c19-12(20)7-8-2-1-3-9(6-8)10-4-5-11(16-10)13(21)14-17-15(22)23-18-14/h1-6,16H,7H2,(H,19,20)(H,17,18,22)",C15H11N3O5,313,1.2,5.37,6.9,3.58,-120,2.8540777611395143,1
OCCc1cccc(c1)c1[nH]c(cc1)C(=O)c1nc(=O)o[nH]1	No_4_625,23/000000238,"InChI=1S/C15H13N3O4/c19-7-6-9-2-1-3-10(8-9)11-4-5-12(16-11)13(20)14-17-15(21)22-18-14/h1-5,8,16,19H,6-7H2,(H,17,18,21)",C15H13N3O4,299,1.12,5.35,6.43,3.58,-120,2.906767313230713,1
Oc1ncc(c(n1)[C@H](/C=C/c1nc(c[nH]1)Cl)O)C(=O)O	No_2_488,29/000000176,"InChI=1S/C11H9ClN4O4/c12-7-4-13-8(15-7)2-1-6(17)9-5(10(18)19)3-14-11(20)16-9/h1-4,6,17H,(H,13,15)(H,18,19)(H,14,16,20)/b2-1+/t6-/m0/s1",C11H9N4O4Cl,296,0.02,5.3,7.31,5.24,-150,4.315200125052055,0
OCCc1c(C=C)ccc(c1)c1[nH]c(cc1)C(=O)c1nc(=O)o[nH]1	No_5_330,23/000000404,"InChI=1S/C17H15N3O4/c1-2-10-3-4-12(9-11(10)7-8-21)13-5-6-14(18-13)15(22)16-19-17(23)24-20-16/h2-6,9,18,21H,1,7-8H2,(H,19,20,23)",C17H15N3O4,325,1.63,5.28,6.06,5.09,-120,3.234758369600878,1
OCc1ccnc(c1CCBr)C/C=C/[C@@H](CN)c1nc(N)c2c(n1)[nH]nc2	No_5_230,21/000000045,"InChI=1S/C18H22BrN7O/c19-6-4-13-12(10-27)5-7-22-15(13)3-1-2-11(8-20)17-24-16(21)14-9-23-26-18(14)25-17/h1-2,5,7,9,11,27H,3-4,6,8,10,20H2,(H3,21,23,24,25,26)/b2-1+/t11-/m0/s1",C18H22N7OBr,432,1.29,5.28,6.72,23.9,-190,4.200336924865272,0
Oc1ncnc2c1nnn2C(=O)CC/C=C/[C@H]1OC=C(OC1)CN	No_7_98,18/000000040,"InChI=1S/C14H16N6O4/c15-5-10-7-23-9(6-24-10)3-1-2-4-11(21)20-13-12(18-19-20)14(22)17-8-16-13/h1,3,7-9H,2,4-6,15H2,(H,16,17,22)/b3-1+/t9-/m1/s1",C14H16N6O4,332,-0.33,5.25,4.74,4.94,-190,4.332046242802354,0
