SMILES;Name;InChI;Formula;MW;LogP;pKd;Structure;Synthesize;Chemical
Oc1ccnc(c1)[C@@H](CCO)C#Cc1cc(F)ccc1F	No_3_508;1/000000011;InChI=1S/C16H13F2NO2/c17-13-3-4-15(18)12(9-13)2-1-11(6-8-20)16-10-14(21)5-7-19-16/h3-5,7,9-11,20H,6,8H2,(H,19,21)/t11-/m1/s1;C16H13NO2F2;289;2.63;4.23;9.04;19.40;-150
Oc1ccnc(c1)[C@@H](CCO)C#Cc1cc(F)ccc1F	No_3_505;1/000000008;InChI=1S/C16H13F2NO2/c17-13-3-4-15(18)12(9-13)2-1-11(6-8-20)16-10-14(21)5-7-19-16/h3-5,7,9-11,20H,6,8H2,(H,19,21)/t11-/m1/s1;C16H13NO2F2;289;2.63;4.54;9.40;19.40;-150
Oc1ccnc(c1)[C@@H](CCO)C#Cc1cc(F)ccc1F	No_3_154;1/000000005;InChI=1S/C16H13F2NO2/c17-13-3-4-15(18)12(9-13)2-1-11(6-8-20)16-10-14(21)5-7-19-16/h3-5,7,9-11,20H,6,8H2,(H,19,21)/t11-/m1/s1;C16H13NO2F2;289;2.63;4.19;9.11;19.40;-150
Oc1ccnc(c1)[C@@H](CCO)C#Cc1cc(F)ccc1F	No_4_60;1/000000014;InChI=1S/C16H13F2NO2/c17-13-3-4-15(18)12(9-13)2-1-11(6-8-20)16-10-14(21)5-7-19-16/h3-5,7,9-11,20H,6,8H2,(H,19,21)/t11-/m1/s1;C16H13NO2F2;289;2.63;4.23;9.46;19.40;-150
OC(=O)COC(=O)C/C=C/[C@@H](C1=CCC=C1)N	No_5_260;1/000000024;InChI=1S/C12H15NO4/c13-10(9-4-1-2-5-9)6-3-7-12(16)17-8-11(14)15/h1,3-6,10H,2,7-8,13H2,(H,14,15)/b6-3+/t10-/m0/s1;C12H15NO4;237;-0.24;4.68;7.16;2.22;-150
Oc1ccnc(c1)[C@@H](CCO)C#Cc1cc(F)ccc1F	No_3_153;1/000000004;InChI=1S/C16H13F2NO2/c17-13-3-4-15(18)12(9-13)2-1-11(6-8-20)16-10-14(21)5-7-19-16/h3-5,7,9-11,20H,6,8H2,(H,19,21)/t11-/m1/s1;C16H13NO2F2;289;2.63;4.16;9.58;19.40;-150
OCC/C=C(\[C@@H]1C=CNN1)/COCc1cc(F)ccc1F	No_5_115;1/000000016;InChI=1S/C15H18F2N2O2/c16-13-3-4-14(17)12(8-13)10-21-9-11(2-1-7-20)15-5-6-18-19-15/h2-6,8,15,18-20H,1,7,9-10H2/b11-2-/t15-/m0/s1;C15H18N2O2F2;296;2.09;4.34;6.98;3.58;-150
OC(=O)c1[nH]c(cc1)C#CCC1=C[C@@H](C=C1)CC	No_3_672;1/000000015;InChI=1S/C15H15NO2/c1-2-11-6-7-12(10-11)4-3-5-13-8-9-14(16-13)15(17)18/h6-11,16H,2,4H2,1H3,(H,17,18)/t11-/m1/s1;C15H15NO2;241;2.36;4.02;5.94;21.00;-170
Oc1ccnc(c1)[C@@H](CCO)C#Cc1cc(F)ccc1F	No_3_155;1/000000006;InChI=1S/C16H13F2NO2/c17-13-3-4-15(18)12(9-13)2-1-11(6-8-20)16-10-14(21)5-7-19-16/h3-5,7,9-11,20H,6,8H2,(H,19,21)/t11-/m1/s1;C16H13NO2F2;289;2.63;4.21;9.68;19.40;-150
Oc1c(C(=O)OCCC)ccc(c1)C/C(=C\C)/CO	No_4_83;1/000000025;InChI=1S/C15H20O4/c1-3-7-19-15(18)13-6-5-12(9-14(13)17)8-11(4-2)10-16/h4-6,9,16-17H,3,7-8,10H2,1-2H3/b11-4+;C15H20O4;264;2.12;4.08;4.81;2.22;-80
O[C@H](CCN)c1onc(n1)/C=C(/c1cc(F)ccc1F)\C(=O)O	No_6_104;1/000000022;InChI=1S/C14H13F2N3O4/c15-7-1-2-10(16)8(5-7)9(14(21)22)6-12-18-13(23-19-12)11(20)3-4-17/h1-2,5-6,11,20H,3-4,17H2,(H,21,22)/b9-6-/t11-/m1/s1;C14H12N3O4F2;324;0.72;4.20;2.49;4.94;-150
OC(=O)[C@@H]1C=C(C=C1C(=O)Cc1nc[nH]n1)C(=O)C(=C)c1c(F)ccc(c1)F	No_5_345;1/000000020;InChI=1S/C19H13F2N3O4/c1-9(12-6-11(20)2-3-15(12)21)18(26)10-4-13(14(5-10)19(27)28)16(25)7-17-22-8-23-24-17/h2-6,8,14H,1,7H2,(H,27,28)(H,22,23,24)/t14-/m1/s1;C19H13N3O4F2;385;1.78;5.11;5.98;4.94;-190
Oc1ccnc(c1)[C@@H](CCO)C#Cc1cc(F)ccc1F	No_3_150;1/000000001;InChI=1S/C16H13F2NO2/c17-13-3-4-15(18)12(9-13)2-1-11(6-8-20)16-10-14(21)5-7-19-16/h3-5,7,9-11,20H,6,8H2,(H,19,21)/t11-/m1/s1;C16H13NO2F2;289;2.63;4.16;9.58;19.40;-150
Oc1c(C(=O)OCCC)ccc(c1)C/C(=C\C)/CO	No_4_84;1/000000026;InChI=1S/C15H20O4/c1-3-7-19-15(18)13-6-5-12(9-14(13)17)8-11(4-2)10-16/h4-6,9,16-17H,3,7-8,10H2,1-2H3/b11-4+;C15H20O4;264;2.12;4.07;4.70;2.22;-80
OC(=O)COC(=O)C/C=C/[C@@H](C1=CCC=C1)N	No_5_259;1/000000023;InChI=1S/C12H15NO4/c13-10(9-4-1-2-5-9)6-3-7-12(16)17-8-11(14)15/h1,3-6,10H,2,7-8,13H2,(H,14,15)/b6-3+/t10-/m0/s1;C12H15NO4;237;-0.24;4.40;6.72;2.22;-150
OC(=O)[C@@H]1C=C(C=C1C(=O)Cc1nc[nH]n1)C(=O)C(=C)c1c(F)ccc(c1)F	No_5_344;1/000000019;InChI=1S/C19H13F2N3O4/c1-9(12-6-11(20)2-3-15(12)21)18(26)10-4-13(14(5-10)19(27)28)16(25)7-17-22-8-23-24-17/h2-6,8,14H,1,7H2,(H,27,28)(H,22,23,24)/t14-/m1/s1;C19H13N3O4F2;385;1.78;5.11;5.98;4.94;-190
