SMILES,Name,InChI,Formula,MW,LogP,pKd,Structure,Synthesize,Chemical,SA_Score,SA_Score_Binary
Oc1nccc(n1)C(=O)c1ncc(c(n1)C)/C=C/c1ccc(c(c1)Cl)C(=O)N	No_3_379,12/000000118,"InChI=1S/C19H14ClN5O3/c1-10-12(4-2-11-3-5-13(17(21)27)14(20)8-11)9-23-18(24-10)16(26)15-6-7-22-19(28)25-15/h2-9H,1H3,(H2,21,27)(H,22,25,28)/b4-2+",C19H14N5O3Cl,395,1.53,5.73,6.96,4.94,-20,3.087024112710001,1
OC(=O)c1cc(c[nH]1)C(=O)c1ncc(c(n1)C)/C=C/c1ccc(c(c1)Cl)I	No_4_82,12/000000208,"InChI=1S/C19H13ClIN3O3/c1-10-12(4-2-11-3-5-15(21)14(20)6-11)8-23-18(24-10)17(25)13-7-16(19(26)27)22-9-13/h2-9,22H,1H3,(H,26,27)/b4-2+",C19H13N3O3ClI,493,3.93,5.64,6.43,3.7,-40,3.0722779618380214,1
OCc1ccc(cc1Cl)/C=C/c1cnc(nc1)C(=O)c1n[nH]c(=O)o1	No_1_13,12/000000220,"InChI=1S/C16H11ClN4O4/c17-12-5-9(3-4-11(12)8-22)1-2-10-6-18-14(19-7-10)13(23)15-20-21-16(24)25-15/h1-7,22H,8H2,(H,21,24)/b2-1+",C16H11N4O4Cl,358,1.75,5.43,4.47,4.94,0,3.124378863478918,1
c1nc(ncc1/C=C/c1ccc(c(c1)Cl)C[NH3+])C(=O)c1n[nH]c(=O)o1	No_1_16,12/000000222,"InChI=1S/C16H12ClN5O3/c17-12-5-9(3-4-11(12)6-18)1-2-10-7-19-14(20-8-10)13(23)15-21-22-16(24)25-15/h1-5,7-8H,6,18H2,(H,22,24)/p+1/b2-1+",C16H13N5O3Cl,358,1.68,5.42,4.46,4.94,0,3.5547836305428397,1
c1nc(ncc1/C=C/c1ccc(c(c1)Cl)CN)C(=O)c1n[nH]c(=O)o1	No_1_18,12/000000223,"InChI=1S/C16H12ClN5O3/c17-12-5-9(3-4-11(12)6-18)1-2-10-7-19-14(20-8-10)13(23)15-21-22-16(24)25-15/h1-5,7-8H,6,18H2,(H,22,24)/b2-1+",C16H12N5O3Cl,357,1.68,5.42,4.34,4.94,0,3.1360973900227966,1
O[C@H](C)c1ccc(cc1Cl)/C=C/c1cnc(nc1)C(=O)c1n[nH]c(=O)o1	No_1_371,12/000000265,"InChI=1S/C17H13ClN4O4/c1-9(23)12-5-4-10(6-13(12)18)2-3-11-7-19-15(20-8-11)14(24)16-21-22-17(25)26-16/h2-9,23H,1H3,(H,22,25)/b3-2+/t9-/m1/s1",C17H13N4O4Cl,372,2.28,5.41,5.54,5.08,-170,3.5797540566949264,1
OCCc1[nH]cc(c1)C(=O)c1ncc(c(n1)C)/C=C/c1ccc(c(c1)Cl)I	No_4_91,12/000000210,"InChI=1S/C20H17ClIN3O2/c1-12-14(4-2-13-3-5-18(22)17(21)8-13)10-24-20(25-12)19(27)15-9-16(6-7-26)23-11-15/h2-5,8-11,23,26H,6-7H2,1H3/b4-2+",C20H17N3O2ClI,493,3.66,5.35,5.88,4.94,-60,3.2335109820809365,1
c1nc(ncc1/C=C/c1ccc(c(c1)Cl)CCN)C(=O)c1n[nH]c(=O)o1	No_1_622,12/000000277,"InChI=1S/C17H14ClN5O3/c18-13-7-10(3-4-12(13)5-6-19)1-2-11-8-20-15(21-9-11)14(24)16-22-23-17(25)26-16/h1-4,7-9H,5-6,19H2,(H,23,25)/b2-1+",C17H14N5O3Cl,371,1.84,5.33,4.02,6.45,0,3.1192833356175065,1
c1c(onc1C[NH3+])C(=O)c1ncc(c(n1)C)/C=C/c1ccc(c(c1)Cl)CN	No_3_319,12/000000111,"InChI=1S/C19H18ClN5O2/c1-11-14(5-3-12-2-4-13(8-21)16(20)6-12)10-23-19(24-11)18(26)17-7-15(9-22)25-27-17/h2-7,10H,8-9,21-22H2,1H3/p+1/b5-3+",C19H19N5O2Cl,384,1.42,5.31,4.41,4.94,-20,3.490191346453406,1
O[C@@H](c1ccc(cc1Cl)/C=C\c1cnc(nc1)C(=O)c1n[nH]c(=O)o1)Cl	No_1_606,12/000000272,"InChI=1S/C16H10Cl2N4O4/c17-11-5-8(3-4-10(11)13(18)24)1-2-9-6-19-14(20-7-9)12(23)15-21-22-16(25)26-15/h1-7,13,24H,(H,22,25)/b2-1+/t13-/m0/s1",C16H10N4O4Cl2,392,2.26,5.3,4.08,5.08,-150,3.784531085145927,1
OC(=O)c1cc(c[nH]1)C(=O)c1ncc(cn1)/C=C/c1ccc(c(c1)Cl)I	No_4_9,12/000000177,"InChI=1S/C18H11ClIN3O3/c19-13-5-10(3-4-14(13)20)1-2-11-7-22-17(23-8-11)16(24)12-6-15(18(25)26)21-9-12/h1-9,21H,(H,25,26)/b2-1+",C18H11N3O3ClI,479,3.62,5.29,4.81,3.7,-20,2.9535401322455357,1
O=C(c1n[nH]c(=O)o1)c1ncc(c(n1)C)/C=C/c1ccc(c(c1)Cl)CN	No_1_202,12/000000258,"InChI=1S/C17H14ClN5O3/c1-9-12(5-3-10-2-4-11(7-19)13(18)6-10)8-20-15(21-9)14(24)16-22-23-17(25)26-16/h2-6,8H,7,19H2,1H3,(H,23,25)/b5-3+",C17H14N5O3Cl,371,2.0,5.28,5.65,4.94,-20,3.2511831248693515,1
OCc1ccc(cc1Cl)/C=C/c1cnc(nc1C)C(=O)c1n[nH]c(=O)o1	No_1_114,12/000000256,"InChI=1S/C17H13ClN4O4/c1-9-11(4-2-10-3-5-12(8-23)13(18)6-10)7-19-15(20-9)14(24)16-21-22-17(25)26-16/h2-7,23H,8H2,1H3,(H,22,25)/b4-2+",C17H13N4O4Cl,372,2.07,5.25,6.25,4.94,-20,3.239785653847222,1
O[C@H](CN)c1ccc(cc1Cl)/C=C/c1cnc(nc1)C(=O)c1nc(c[nH]1)Cl	No_3_254,12/000000102,"InChI=1S/C18H15Cl2N5O2/c19-13-5-10(3-4-12(13)14(26)6-21)1-2-11-7-22-17(23-8-11)16(27)18-24-9-15(20)25-18/h1-5,7-9,14,26H,6,21H2,(H,24,25)/b2-1+/t14-/m1/s1",C18H15N5O2Cl2,403,1.62,5.18,4.11,5.08,-150,3.766033688627825,1
c1nc(ncc1/C=C/c1ccc(c(c1)Cl)I)C(=O)c1c[nH]c(c1)CN	No_4_3,12/000000173,"InChI=1S/C18H14ClIN4O/c19-15-5-11(3-4-16(15)20)1-2-12-8-23-18(24-9-12)17(25)13-6-14(7-21)22-10-13/h1-6,8-10,22H,7,21H2/b2-1+",C18H14N4OClI,464,3.12,5.17,4.69,3.58,0,3.099475288180977,1
Oc1nccc(n1)C(=O)c1ncc(c(n1)C)/C=C/c1c(N)ccc(c1)Cl	No_3_583,12/000000151,"InChI=1S/C18H14ClN5O2/c1-10-12(3-2-11-8-13(19)4-5-14(11)20)9-22-17(23-10)16(25)15-6-7-21-18(26)24-15/h2-9H,20H2,1H3,(H,21,24,26)/b3-2+",C18H14N5O2Cl,367,1.82,5.16,6.4,3.58,-20,3.1709190574299413,1
c1nc(ncc1/C=C/c1ccc(c(c1)Cl)C[NH3+])C(=O)c1c[nH]c(c1)CC[NH3+]	No_3_616,12/000000156,"InChI=1S/C20H20ClN5O/c21-18-7-13(3-4-15(18)9-23)1-2-14-10-25-20(26-11-14)19(27)16-8-17(5-6-22)24-12-16/h1-4,7-8,10-12,24H,5-6,9,22-23H2/p+2/b2-1+",C20H22N5OCl,383,1.33,5.12,3.58,6.45,-40,3.804016671128731,1
OCCc1[nH]cc(c1)C(=O)c1ncc(cn1)/C=C/c1ccc(c(c1)Cl)I	No_3_514,12/000000140,"InChI=1S/C19H15ClIN3O2/c20-16-7-12(3-4-17(16)21)1-2-13-9-23-19(24-10-13)18(26)14-8-15(5-6-25)22-11-14/h1-4,7-11,22,25H,5-6H2/b2-1+",C19H15N3O2ClI,479,3.35,5.09,3.93,4.94,-40,3.120331152665324,1
Oc1noc(c1)C(=O)c1ncc(cn1)/C=C/c1ccc(c(c1)Cl)CO	No_3_86,12/000000081,"InChI=1S/C17H12ClN3O4/c18-13-5-10(3-4-12(13)9-22)1-2-11-7-19-17(20-8-11)16(24)14-6-15(23)21-25-14/h1-8,22H,9H2,(H,21,23)/b2-1+",C17H12N3O4Cl,357,2.05,5.07,3.62,4.94,0,3.0686003152665666,1
c1nc(ncc1/C=C/c1ccc(c(c1)Cl)I)C(=O)c1c[nH]c(c1)[C@@H]([NH3+])C	No_3_387,12/000000121,"InChI=1S/C19H16ClIN4O/c1-11(22)17-7-14(10-23-17)18(26)19-24-8-13(9-25-19)3-2-12-4-5-16(21)15(20)6-12/h2-11,23H,22H2,1H3/p+1/b3-2+/t11-/m0/s1",C19H17N4OClI,479,3.65,5.07,4.67,23.6,-190,3.9311390935758546,1
O[C@@H](C)c1cc(c[nH]1)C(=O)c1ncc(cn1)/C=C/c1ccc(c(c1)Cl)I	No_3_425,12/000000126,"InChI=1S/C19H15ClIN3O2/c1-11(25)17-7-14(10-22-17)18(26)19-23-8-13(9-24-19)3-2-12-4-5-16(21)15(20)6-12/h2-11,22,25H,1H3/b3-2+/t11-/m0/s1",C19H15N3O2ClI,479,3.71,5.05,4.47,4.94,-190,3.6076910429962963,1
N1CC(=C[C@@H]1C[NH3+])C(=O)c1ncc(cn1)/C=C/c1cc(Cl)ccc1Br	No_3_220,12/000000097,"InChI=1S/C18H16BrClN4O/c19-16-4-3-14(20)5-12(16)2-1-11-8-23-18(24-9-11)17(25)13-6-15(7-21)22-10-13/h1-6,8-9,15,22H,7,10,21H2/p+1/b2-1+/t15-/m1/s1",C18H17N4OClBr,420,2.11,5.0,3.62,3.58,-170,4.168176625622545,0
OC(=O)CCCOC[C@H](c1ccc(c(c1)I)C=C)N	No_4_621,10/000000021,"InChI=1S/C14H18INO3/c1-2-10-5-6-11(8-12(10)15)13(16)9-19-7-3-4-14(17)18/h2,5-6,8,13H,1,3-4,7,9,16H2,(H,17,18)/t13-/m1/s1",C14H18NO3I,375,2.54,4.98,8.96,3.72,-150,3.164583671248611,1
OCc1ccc(cc1Cl)/C=C/c1cnc(nc1C)C(=O)c1occ(n1)CN	No_3_433,12/000000127,"InChI=1S/C19H17ClN4O3/c1-11-13(4-2-12-3-5-14(9-25)16(20)6-12)8-22-18(23-11)17(26)19-24-15(7-21)10-27-19/h2-6,8,10,25H,7,9,21H2,1H3/b4-2+",C19H17N4O3Cl,384,1.0,4.98,4.07,4.94,-40,3.237061791797535,1
c1nc(ncc1/C=C/c1ccc(c(c1)Cl)C)C(=O)c1c[nH]c(c1)CC[NH3+]	No_2_263,12/000000039,"InChI=1S/C20H19ClN4O/c1-13-2-3-14(8-18(13)21)4-5-15-10-24-20(25-11-15)19(26)16-9-17(6-7-22)23-12-16/h2-5,8-12,23H,6-7,22H2,1H3/p+1/b5-4+",C20H20N4OCl,367,2.44,4.95,4.35,4.94,-60,3.3096978886320594,1
