SMILES;Name;InChI;Formula;MW;LogP;pKd;Structure;Synthesize;Chemical
c1c(Cl)cc(c(c1)Cl)C#C[C@@H](CCn1nccc1N)N	No_3_205;1/000000043;InChI=1S/C14H14Cl2N4/c15-11-2-4-13(16)10(9-11)1-3-12(17)6-8-20-14(18)5-7-19-20/h2,4-5,7,9,12H,6,8,17-18H2/t12-/m0/s1;C14H14N4Cl2;308;3.57;4.07;6.45;5.08;-150
OCC1=C(/C=C/[C@@](c2ccccc2)(N)O)C(=O)CO1	No_4_264;1/000000005;InChI=1S/C14H15NO4/c15-14(18,10-4-2-1-3-5-10)7-6-11-12(17)9-19-13(11)8-16/h1-7,16,18H,8-9,15H2/b7-6+/t14-/m1/s1;C14H15NO4;261;-0.18;4.11;4.67;3.58;-150
OC(=O)[C@@H](C1=CC(=O)CO1)c1nnc(o1)/C=C/CCCN	No_4_495;1/000000011;InChI=1S/C13H15N3O5/c14-5-3-1-2-4-10-15-16-12(21-10)11(13(18)19)9-6-8(17)7-20-9/h2,4,6,11H,1,3,5,7,14H2,(H,18,19)/b4-2+/t11-/m0/s1;C13H15N3O5;293;0.17;4.36;5.60;5.09;-150
OC(=O)[C@@H](C1=CC(=O)CO1)c1nnc(o1)/C=C/CCCN	No_4_492;1/000000008;InChI=1S/C13H15N3O5/c14-5-3-1-2-4-10-15-16-12(21-10)11(13(18)19)9-6-8(17)7-20-9/h2,4,6,11H,1,3,5,7,14H2,(H,18,19)/b4-2+/t11-/m0/s1;C13H15N3O5;293;0.17;4.26;4.32;5.09;-150
OC(=O)c1c(ncn1CC/C=C/C1CCCC1)C(=O)N	No_2_541;1/000000045;InChI=1S/C14H19N3O3/c15-13(18)11-12(14(19)20)17(9-16-11)8-4-3-7-10-5-1-2-6-10/h3,7,9-10H,1-2,4-6,8H2,(H2,15,18)(H,19,20)/b7-3+;C14H19N3O3;277;1.11;4.03;1.99;2.35;-150
OC(=O)[C@@H](C1=C(C(=O)CO1)CN)c1nnc(o1)/C=C/CCC	No_4_623;1/000000014;InChI=1S/C14H17N3O5/c1-2-3-4-5-10-16-17-13(22-10)11(14(19)20)12-8(6-15)9(18)7-21-12/h4-5,11H,2-3,6-7,15H2,1H3,(H,19,20)/b5-4+/t11-/m0/s1;C14H17N3O5;307;0.41;4.14;6.63;5.09;-170
OC(=O)[C@@H](C1=C(C(=O)CO1)CN)c1nnc(o1)/C=C/CCC	No_4_625;1/000000016;InChI=1S/C14H17N3O5/c1-2-3-4-5-10-16-17-13(22-10)11(14(19)20)12-8(6-15)9(18)7-21-12/h4-5,11H,2-3,6-7,15H2,1H3,(H,19,20)/b5-4+/t11-/m0/s1;C14H17N3O5;307;0.41;4.04;6.70;5.09;-170
OC(=O)[C@@H](C1=C(C(=O)CO1)C)c1nnc(o1)/C=C/CCCN	No_5_324;1/000000028;InChI=1S/C14H17N3O5/c1-8-9(18)7-21-12(8)11(14(19)20)13-17-16-10(22-13)5-3-2-4-6-15/h3,5,11H,2,4,6-7,15H2,1H3,(H,19,20)/b5-3+/t11-/m0/s1;C14H17N3O5;307;0.31;4.47;7.07;5.09;-170
OC(=O)[C@@H](C1=C(C(=O)CO1)CF)c1nnc(o1)/C=C/CCCN	No_5_614;1/000000034;InChI=1S/C14H16FN3O5/c15-6-8-9(19)7-22-12(8)11(14(20)21)13-18-17-10(23-13)4-2-1-3-5-16/h2,4,11H,1,3,5-7,16H2,(H,20,21)/b4-2+/t11-/m0/s1;C14H16N3O5F;325;0.41;4.53;6.25;5.09;-150
OC(=O)[C@@H](C1=C(C(=O)CO1)C)c1nnc(o1)/C=C/CCCN	No_5_323;1/000000027;InChI=1S/C14H17N3O5/c1-8-9(18)7-21-12(8)11(14(19)20)13-17-16-10(22-13)5-3-2-4-6-15/h3,5,11H,2,4,6-7,15H2,1H3,(H,19,20)/b5-3+/t11-/m0/s1;C14H17N3O5;307;0.31;4.47;6.83;5.09;-170
OC(=O)[C@@H](C1=C(C(=O)CO1)CF)c1nnc(o1)/C=C/CCCN	No_5_615;1/000000035;InChI=1S/C14H16FN3O5/c15-6-8-9(19)7-22-12(8)11(14(20)21)13-18-17-10(23-13)4-2-1-3-5-16/h2,4,11H,1,3,5-7,16H2,(H,20,21)/b4-2+/t11-/m0/s1;C14H16N3O5F;325;0.41;4.47;6.17;5.09;-150
