SMILES,Name,InChI,Formula,MW,LogP,pKd,Structure,Synthesize,Chemical,SA_Score,SA_Score_Binary
OC(=O)C/C=C(/c1cccc(c1Cl)Cl)\c1n[nH]nc1,29/000000012,"InChI=1S/C12H9Cl2N3O2/c13-9-3-1-2-8(12(9)14)7(4-5-11(18)19)10-6-15-17-16-10/h1-4,6H,5H2,(H,18,19)(H,15,16,17)/b7-4-",C12H9N3O2Cl2,297,4.21,6.01,6.5,3.58,0,2.9545229638438215,1
OC(=O)c1ccn(c1C#CCO)C[C@H](c1onc(c1CC)O)Cl,6/000000096,"InChI=1S/C15H15ClN2O5/c1-2-9-13(23-17-14(9)20)11(16)8-18-6-5-10(15(21)22)12(18)4-3-7-19/h5-6,11,19H,2,7-8H2,1H3,(H,17,20)(H,21,22)/t11-/m1/s1",C15H15N2O5Cl,338,1.71,5.84,8.67,5.35,-170,4.119363723014072,0
OC(=O)c1ccn(c1C#CCO)C[C@H](c1onc(c1C(=O)O)O)Cl,6/000000085,"InChI=1S/C14H11ClN2O7/c15-8(11-10(14(22)23)12(19)16-24-11)6-17-4-3-7(13(20)21)9(17)2-1-5-18/h3-4,8,18H,5-6H2,(H,16,19)(H,20,21)(H,22,23)/t8-/m1/s1",C14H11N2O7Cl,354,0.85,5.75,9.0,6.75,-150,4.076161910412336,0
OC(=O)c1ccn(c1C#CCO)C[C@H](c1onc(c1CCN)O)Cl,6/000000080,"InChI=1S/C15H16ClN3O5/c16-11(13-10(3-5-17)14(21)18-24-13)8-19-6-4-9(15(22)23)12(19)2-1-7-20/h4,6,11,20H,3,5,7-8,17H2,(H,18,21)(H,22,23)/t11-/m1/s1",C15H16N3O5Cl,353,0.51,5.65,8.59,6.75,-150,4.1733680427415445,0
OC(=O)CCc1c(O)noc1[C@@H](Cn1ccc(c1C#CCO)C(=O)O)Cl,6/000000089,"InChI=1S/C16H15ClN2O7/c17-11(14-10(3-4-13(21)22)15(23)18-26-14)8-19-6-5-9(16(24)25)12(19)2-1-7-20/h5-6,11,20H,3-4,7-8H2,(H,18,23)(H,21,22)(H,24,25)/t11-/m1/s1",C16H15N2O7Cl,382,0.83,5.6,10.23,8.26,-150,4.03090005767446,0
Oc1noc(c1)[C@@H](Cn1ccc(c1C#CCO)C(=O)O)Cl,6/000000064,"InChI=1S/C13H11ClN2O5/c14-9(11-6-12(18)15-21-11)7-16-4-3-8(13(19)20)10(16)2-1-5-17/h3-4,6,9,17H,5,7H2,(H,15,18)(H,19,20)/t9-/m1/s1",C13H11N2O5Cl,310,1.31,5.56,9.12,3.85,-150,4.138727593208292,0
OC(=O)[C@H](c1nonc1)C#Cc1cccc(c1O)F,20/000000106,"InChI=1S/C12H7FN2O4/c13-9-3-1-2-7(11(9)16)4-5-8(12(17)18)10-6-14-19-15-10/h1-3,6,8,16H,(H,17,18)/t8-/m0/s1",C12H7N2O4F,262,2.54,5.54,3.76,23.7,-150,3.8935270507283466,1
O=C(Nc1cc(cc(c1)CN)/C=C/CCOc1cc(N)cc(c1)Cl)N,4/000000281,"InChI=1S/C18H21ClN4O2/c19-14-8-15(21)10-17(9-14)25-4-2-1-3-12-5-13(11-20)7-16(6-12)23-18(22)24/h1,3,5-10H,2,4,11,20-21H2,(H3,22,23,24)/b3-1+",C18H21N4O2Cl,360,1.71,5.54,5.31,8.12,0,2.6418035438689493,1
OC(=O)[C@H](c1nonc1)C#Cc1nc2c([nH]1)cccc2,20/000000093,"InChI=1S/C13H8N4O3/c18-13(19)8(11-7-14-20-17-11)5-6-12-15-9-3-1-2-4-10(9)16-12/h1-4,7-8H,(H,15,16)(H,18,19)/t8-/m0/s1",C13H8N4O3,268,2.09,5.49,3.59,24.3,-190,3.8536697946927596,1
OC(=O)c1ccn(c1C#CCO)C[C@H](c1nonc1CCCCC)Cl,6/000000092,"InChI=1S/C17H20ClN3O4/c1-2-3-4-6-14-16(20-25-19-14)13(18)11-21-9-8-12(17(23)24)15(21)7-5-10-22/h8-9,13,22H,2-4,6,10-11H2,1H3,(H,23,24)/t13-/m1/s1",C17H20N3O4Cl,365,3.14,5.47,7.33,8.4,-170,3.9122949664366606,1
