SMILES;Name;InChI;Formula;MW;LogP;pKd;Structure;Synthesize;Chemical
OCc1c(/C=C/C2=CC(=O)O[C@@H]2CCCNC(=O)CN)cccc1	No_3_608;1/000000002;InChI=1S/C18H22N2O4/c19-11-17(22)20-9-3-6-16-14(10-18(23)24-16)8-7-13-4-1-2-5-15(13)12-21/h1-2,4-5,7-8,10,16,21H,3,6,9,11-12,19H2,(H,20,22)/b8-7+/t16-/m1/s1;C18H22N2O4;330;0.51;4.76;5.05;3.58;-190
O[C@H](C1=C(C(=O)OC1)CF)/C=C/CNc1ccccc1	No_4_663;1/000000001;InChI=1S/C15H16FNO3/c16-9-12-13(10-20-15(12)19)14(18)7-4-8-17-11-5-2-1-3-6-11/h1-7,14,17-18H,8-10H2/b7-4+/t14-/m0/s1;C15H16NO3F;277;1.29;4.10;7.35;3.58;-150
Oc1c(=O)cc(oc1CNCCC)c1nnn[nH]1	No_5_55;2/000000005;InChI=1S/C10H13N5O3/c1-2-3-11-5-8-9(17)6(16)4-7(18-8)10-12-14-15-13-10/h4,11,17H,2-3,5H2,1H3,(H,12,13,14,15);C10H13N5O3;251;-0.30;4.14;3.65;23.80;-140
c1nc(oc1c1nnc([nH]1)C[NH3+])CCCCCCC	No_3_752;2/000000011;InChI=1S/C13H21N5O/c1-2-3-4-5-6-7-12-15-9-10(19-12)13-16-11(8-14)17-18-13/h9H,2-8,14H2,1H3,(H,16,17,18)/p+1;C13H22N5O;264;2.26;4.01;-0.25;3.58;-120
O[C@H](C(=O)O)C#Cc1c(Cl)nccc1	No_1_381;2/000000008;InChI=1S/C9H6ClNO3/c10-8-6(2-1-5-11-8)3-4-7(12)9(13)14/h1-2,5,7,12H,(H,13,14)/t7-/m0/s1;C9H6NO3Cl;211;0.58;4.03;2.03;2.22;-170
Oc1c(=O)cc(oc1CNCCC)c1nnn[nH]1	No_5_41;2/000000004;InChI=1S/C10H13N5O3/c1-2-3-11-5-8-9(17)6(16)4-7(18-8)10-12-14-15-13-10/h4,11,17H,2-3,5H2,1H3,(H,12,13,14,15);C10H13N5O3;251;-0.30;4.20;3.70;23.80;-140
NC(=O)Nc1ccc(cc1Cl)C(=O)/C(=C/C)/c1oc(cn1)c1cnccc1	No_3_425;2/000000006;InChI=1S/C19H15ClN4O3/c1-2-13(18-23-10-16(27-18)12-4-3-7-22-9-12)17(25)11-5-6-15(14(20)8-11)24-19(21)26/h2-10H,1H3,(H3,21,24,26)/b13-2-;C19H15N4O3Cl;382;1.86;4.93;7.01;5.08;-140
Oc1c(=O)cc(oc1CC/C=C\CC)c1nnn[nH]1	No_2_265;2/000000001;InChI=1S/C12H14N4O3/c1-2-3-4-5-6-9-11(18)8(17)7-10(19-9)12-13-15-16-14-12/h3-4,7,18H,2,5-6H2,1H3,(H,13,14,15,16)/b4-3-;C12H14N4O3;262;0.80;4.02;2.53;24.60;-140
NC(=O)Nc1ccc(cc1Cl)C(=O)/C(=C/C)/c1oc(cn1)c1cnccc1	No_3_426;2/000000007;InChI=1S/C19H15ClN4O3/c1-2-13(18-23-10-16(27-18)12-4-3-7-22-9-12)17(25)11-5-6-15(14(20)8-11)24-19(21)26/h2-10H,1H3,(H3,21,24,26)/b13-2-;C19H15N4O3Cl;382;1.86;4.95;7.45;5.08;-140
O[C@H](C(=O)O)C#Cc1c(Cl)nccc1	No_2_2;2/000000012;InChI=1S/C9H6ClNO3/c10-8-6(2-1-5-11-8)3-4-7(12)9(13)14/h1-2,5,7,12H,(H,13,14)/t7-/m0/s1;C9H6NO3Cl;211;0.58;4.03;2.03;2.22;-170
Oc1c(=O)cc(oc1CNCCC)c1nnn[nH]1	No_4_96;2/000000003;InChI=1S/C10H13N5O3/c1-2-3-11-5-8-9(17)6(16)4-7(18-8)10-12-14-15-13-10/h4,11,17H,2-3,5H2,1H3,(H,12,13,14,15);C10H13N5O3;251;-0.30;4.20;3.70;23.80;-140
Oc1c(=O)cc(oc1CNCCC)c1nnn[nH]1	No_4_95;2/000000002;InChI=1S/C10H13N5O3/c1-2-3-11-5-8-9(17)6(16)4-7(18-8)10-12-14-15-13-10/h4,11,17H,2-3,5H2,1H3,(H,12,13,14,15);C10H13N5O3;251;-0.30;4.14;3.65;23.80;-140
c1nc(oc1c1nnc([nH]1)C[NH3+])CCCCCCC	No_3_735;2/000000009;InChI=1S/C13H21N5O/c1-2-3-4-5-6-7-12-15-9-10(19-12)13-16-11(8-14)17-18-13/h9H,2-8,14H2,1H3,(H,16,17,18)/p+1;C13H22N5O;264;2.26;4.02;-0.26;3.58;-120
