SMILES;Name;InChI;Formula;MW;LogP;pKd;Structure;Synthesize;Chemical
Oc1cc(C#CC(=O)O[C@H]2CN=C(C2)CO)cc(c1)C(=O)OC	No_4_641;1/000000189;InChI=1S/C16H15NO6/c1-22-16(21)11-4-10(5-13(19)6-11)2-3-15(20)23-14-7-12(9-18)17-8-14/h4-6,14,18-19H,7-9H2,1H3/t14-/m1/s1;C16H15NO6;317;0.95;4.67;4.55;3.58;-170
OC(=O)c1cc(O)cc(c1)c1coc(c1)CC#CCF	No_3_8;1/000000043;InChI=1S/C15H11FO4/c16-4-2-1-3-14-8-12(9-20-14)10-5-11(15(18)19)7-13(17)6-10/h5-9,17H,3-4H2,(H,18,19);C15H11O4F;274;2.59;4.19;3.89;2.22;-120
Oc1cccc2c1nc([nH]2)[C@@H](CC=C)O	No_2_259;1/000000192;InChI=1S/C11H12N2O2/c1-2-4-9(15)11-12-7-5-3-6-8(14)10(7)13-11/h2-3,5-6,9,14-15H,1,4H2,(H,12,13)/t9-/m1/s1;C11H12N2O2;204;0.99;4.01;0.93;12.70;-190
Oc1cc(C#CC(=O)OCCN2C=CCC2)cc(c1)CO	No_4_56;1/000000115;InChI=1S/C16H17NO4/c18-12-14-9-13(10-15(19)11-14)3-4-16(20)21-8-7-17-5-1-2-6-17/h1,5,9-11,18-19H,2,6-8,12H2;C16H17NO4;287;2.24;4.56;4.45;19.80;0
Oc1cccc2c1nc([nH]2)C(=O)O	No_1_10;1/000000195;InChI=1S/C8H6N2O3/c11-5-3-1-2-4-6(5)10-7(9-4)8(12)13/h1-3,11H,(H,9,10)(H,12,13);C8H5N2O3;177;0.10;4.06;3.52;13.00;-40
Oc1cc(F)cc(c1)C#CC(=O)OCCN1C=C[C@@H](C1)NC	No_4_371;1/000000170;InChI=1S/C16H17FN2O3/c1-18-14-4-5-19(11-14)6-7-22-16(21)3-2-12-8-13(17)10-15(20)9-12/h4-5,8-10,14,18,20H,6-7,11H2,1H3/t14-/m0/s1;C16H17N2O3F;304;2.77;4.11;4.10;22.70;-170
Oc1cc(cc(c1)CO)c1coc(c1CC=C)CC(=O)O	No_4_55;1/000000114;InChI=1S/C16H16O5/c1-2-3-13-14(9-21-15(13)7-16(19)20)11-4-10(8-17)5-12(18)6-11/h2,4-6,9,17-18H,1,3,7-8H2,(H,19,20);C16H16O5;288;1.37;4.19;5.56;3.85;-120
OC(=O)c1cc(O)cc(c1)c1coc(c1)CC#CCF	No_4_4;1/000000103;InChI=1S/C15H11FO4/c16-4-2-1-3-14-8-12(9-20-14)10-5-11(15(18)19)7-13(17)6-10/h5-9,17H,3-4H2,(H,18,19);C15H11O4F;274;2.59;4.10;4.73;2.22;-120
Oc1cc(C#CC(=O)OCCBr)cc(c1)c1n[nH]nc1	No_3_180;1/000000062;InChI=1S/C13H10BrN3O3/c14-3-4-20-13(19)2-1-9-5-10(7-11(18)6-9)12-8-15-17-16-12/h5-8,18H,3-4H2,(H,15,16,17);C13H10N3O3Br;336;4.31;4.45;1.79;23.50;-120
Oc1cc(C#CC(=O)OCC[NH2+]CCC)cc(c1)CO	No_4_88;1/000000124;InChI=1S/C15H19NO4/c1-2-5-16-6-7-20-15(19)4-3-12-8-13(11-17)10-14(18)9-12/h8-10,16-18H,2,5-7,11H2,1H3/p+1;C15H20NO4;278;1.80;4.40;1.71;17.80;-20
Oc1cc(c2coc(c2)CNCc2ccccc2)cc(c1)CO	No_4_121;1/000000136;InChI=1S/C19H19NO3/c21-12-15-6-16(8-18(22)7-15)17-9-19(23-13-17)11-20-10-14-4-2-1-3-5-14/h1-9,13,20-22H,10-12H2;C19H19NO3;309;2.58;4.57;3.58;3.58;-120
Oc1cccc(c1CCF)C#CC(=O)O[C@H]1CN=C(C1)CO	No_4_269;1/000000155;InChI=1S/C16H16FNO4/c17-7-6-14-11(2-1-3-15(14)20)4-5-16(21)22-13-8-12(10-19)18-9-13/h1-3,13,19-20H,6-10H2/t13-/m1/s1;C16H16NO4F;305;1.70;4.16;8.52;3.87;-150
Oc1cc(C#CC(=O)O[C@H]2CN=C(C2)CO)cc(c1)CC(=O)O	No_4_421;1/000000173;InChI=1S/C16H15NO6/c18-9-12-7-14(8-17-12)23-16(22)2-1-10-3-11(6-15(20)21)5-13(19)4-10/h3-5,14,18-19H,6-9H2,(H,20,21)/t14-/m1/s1;C16H15NO6;317;0.44;4.42;4.90;3.87;-150
Oc1ccc(c(c1)C#CC(=O)OC[C@H](O)Br)C(=O)C	No_4_114;1/000000131;InChI=1S/C13H11BrO5/c1-8(15)11-4-3-10(16)6-9(11)2-5-13(18)19-7-12(14)17/h3-4,6,12,16-17H,7H2,1H3/t12-/m0/s1;C13H11O5Br;327;2.12;4.14;5.90;19.10;-170
Oc1cc(c2coc(c2)CNCc2ccncc2)cc(c1)CO	No_4_187;1/000000141;InChI=1S/C18H18N2O3/c21-11-14-5-15(7-17(22)6-14)16-8-18(23-12-16)10-20-9-13-1-3-19-4-2-13/h1-8,12,20-22H,9-11H2;C18H18N2O3;310;1.33;4.17;3.60;3.58;-120
Oc1cc(C#CC(=O)O[C@H]2CN=C(C2)CO)cc(c1)C	No_4_337;1/000000162;InChI=1S/C15H15NO4/c1-10-4-11(6-13(18)5-10)2-3-15(19)20-14-7-12(9-17)16-8-14/h4-6,14,17-18H,7-9H2,1H3/t14-/m1/s1;C15H15NO4;273;1.24;4.04;5.37;19.80;-170
Oc1cc(cc(c1)C#CC(=O)O[C@H]1CN=C(C1)CO)NC(=O)C	No_4_552;1/000000180;InChI=1S/C16H16N2O5/c1-10(20)18-12-4-11(5-14(21)6-12)2-3-16(22)23-15-7-13(9-19)17-8-15/h4-6,15,19,21H,7-9H2,1H3,(H,18,20)/t15-/m1/s1;C16H16N2O5;316;0.27;4.64;4.83;24.00;-170
