SMILES,Name,InChI,Formula,MW,LogP,pKd,Structure,Synthesize,Chemical,SA_Score,SA_Score_Binary
O=Nc1c(Br)c(C#CC[C@@H](C[NH3+])C)cc(c1)C(=O)CO,12/000000691,"InChI=1S/C14H15BrN2O3/c1-9(7-16)3-2-4-10-5-11(13(19)8-18)6-12(17-20)14(10)15/h5-6,9,18H,3,7-8,16H2,1H3/p+1/t9-/m0/s1",C14H16N2O3Br,340.0,1.76,6.1,5.24,20.7,-170.0,4.386506045797975,0
SCn1nc([nH]c1=S)[C@@H](Cc1cc(C(=O)N=O)ccc1Br)Cl,12/000000358,"InChI=1S/C12H10BrClN4O2S2/c13-8-2-1-6(11(19)17-20)3-7(8)4-9(14)10-15-12(22)18(5-21)16-10/h1-3,9,21H,4-5H2,(H,15,16,22)/t9-/m1/s1",C12H10N4O2S2ClBr421,3.61,4.04,5.95,5.08,-179.0,,4.114283351183039,0
OCC(=O)c1cc(N=O)c(c(c1)n1cnnc1S)Br,12/000000088,"InChI=1S/C10H7BrN4O3S/c11-9-6(14-18)1-5(8(17)3-16)2-7(9)15-4-12-13-10(15)19/h1-2,4,16H,3H2,(H,13,19)",C10H7N4O3SBr,343.0,2.45,5.92,5.03,22.6,-120.0,3.555365807429842,1
OC(=O)c1cc(OC/C=C/[C@@H]2NNc3c2cccc3)c(c(c1)ON)Br,12/000001403,"InChI=1S/C17H16BrN3O4/c18-16-14(8-10(17(22)23)9-15(16)25-19)24-7-3-6-13-11-4-1-2-5-12(11)20-21-13/h1-6,8-9,13,20-21H,7,19H2,(H,22,23)/b6-3+/t13-/m0/s1",C17H16N3O4Br,406.0,2.98,5.86,7.55,21.3,-190.0,3.7090264631090015,1
Oc1c(Br)ccnc1C1=C(C(=O)C=C(C1=O)C(=O)CCN)CCl,10/000000184,"InChI=1S/C15H12BrClN2O4/c16-9-2-4-19-13(15(9)23)12-8(6-17)11(21)5-7(14(12)22)10(20)1-3-18/h2,4-5,23H,1,3,6,18H2",C15H12N2O4ClBr,399.0,0.05,5.54,6.07,24.0,-160.0,3.500358879673586,1
OC(=O)c1cc(ON)c(c(c1)C[C@H](c1ncccc1)N)Br,12/000000612,"InChI=1S/C14H14BrN3O3/c15-13-8(5-9(14(19)20)7-12(13)21-17)6-10(16)11-3-1-2-4-18-11/h1-5,7,10H,6,16-17H2,(H,19,20)/t10-/m1/s1",C14H14N3O3Br,352.0,0.9,5.51,5.51,2.64,-150.0,3.15532838896426,1
OC[C@@](C)(C#CCCc1cc(C(=O)N=O)cc(c1Br)O)O,12/000000752,"InChI=1S/C14H14BrNO5/c1-14(20,8-17)5-3-2-4-9-6-10(13(19)16-21)7-11(18)12(9)15/h6-7,17-18,20H,2,4,8H2,1H3/t14-/m1/s1",C14H14NO5Br,356.0,1.31,5.45,5.9,5.21,-200.0,3.9617755375053747,1
O=N[C@@H](/C=C/CNN)c1ccc(c(c1)CN)I,5/000000034,"InChI=1S/C11H15IN4O/c12-10-4-3-8(6-9(10)7-13)11(16-17)2-1-5-15-14/h1-4,6,11,15H,5,7,13-14H2/b2-1+/t11-/m0/s1",C11H15N4OI,346.0,1.36,5.45,2.99,16.5,-150.0,4.238040683856478,0
SCCN(CC#CCCc1cc(C(=O)N=O)cc(c1Br)O)C,12/000000805,"InChI=1S/C15H17BrN2O3S/c1-18(7-8-22)6-4-2-3-5-11-9-12(15(20)17-21)10-13(19)14(11)16/h9-10,19,22H,3,5-8H2,1H3",C15H17N2O3SBr,385.0,3.04,5.44,5.52,5.21,-80.0,3.5452225879559887,1
Oc1cc(cc(c1)C#C[C@@H](CCO)/C=C/CNOC)/[NH]=C\1/NCCCN1,23/000000165,"InChI=1S/C19H27N4O3/c1-26-22-10-2-4-15(7-11-24)5-6-16-12-17(14-18(25)13-16)23-19-20-8-3-9-21-19/h2,4,12-15,20-25H,3,7-11H2,1H3/b4-2+/t15-/m0/s1",C19H26N4O3,358.0,1.97,5.41,2.85,24.3,-170.0,,0
Oc1cc(C(=O)N=O)cc(c1Br)CCC#C[C@]1(SC=NCC1)[NH3+],12/000000807,"InChI=1S/C15H14BrN3O3S/c16-13-10(7-11(8-12(13)20)14(21)19-22)3-1-2-4-15(17)5-6-18-9-23-15/h7-9,20H,1,3,5-6,17H2/p+1/t15-/m1/s1",C15H15N3O3SBr,397.0,2.1,5.4,7.89,7.99,-150.0,4.816426738123962,0
OC(=O)c1cc(c(c(c1)ON)Br)C[C@H](/C=C/CC)N,12/000000631,"InChI=1S/C13H17BrN2O3/c1-2-3-4-10(15)6-8-5-9(13(17)18)7-11(19-16)12(8)14/h3-5,7,10H,2,6,15-16H2,1H3,(H,17,18)/b4-3+/t10-/m0/s1",C13H17N2O3Br,329.0,1.53,5.37,5.24,2.48,-170.0,3.582769209014012,1
OCc1c(I)ccc(c1)[C@@H](NN)C#CCCN(=O)=O,5/000000022,"InChI=1S/C12H14IN3O3/c13-11-5-4-9(7-10(11)8-17)12(15-14)3-1-2-6-16(18)19/h4-5,7,12,15,17H,2,6,8,14H2/t12-/m0/s1",C12H14N3O3I,375.0,1.5,5.37,2.19,19.7,-190.0,4.075314440479378,0
