SMILES;Name;InChI;Formula;MW;LogP;pKd;Structure;Synthesize;Chemical
Sc1nnc([nH]1)/C=C/C1=C(C(=O)C1=O)/C=C/[C@H](C)Cl	No_1_540;1/000000001;InChI=1S/C12H10ClN3O2S/c1-6(13)2-3-7-8(11(18)10(7)17)4-5-9-14-12(19)16-15-9/h2-6H,1H3,(H2,14,15,16,19)/b3-2+,5-4+/t6-/m0/s1;C12H10N3O2SCl;295;2.33;4.02;3.36;3.58;-190
C#Cc1nc2c(n1CC(=C)CS)CN(C2)CCO	No_4_498;2/000000005;InChI=1S/C13H17N3OS/c1-3-13-14-11-7-15(4-5-17)8-12(11)16(13)6-10(2)9-18/h1,17-18H,2,4-9H2;C13H17N3OS;263;0.45;4.07;5.10;3.58;0
C#Cc1nc2c(n1CC(=C)CS)CN(C2)CCO	No_4_497;2/000000004;InChI=1S/C13H17N3OS/c1-3-13-14-11-7-15(4-5-17)8-12(11)16(13)6-10(2)9-18/h1,17-18H,2,4-9H2;C13H17N3OS;263;0.45;4.07;5.10;3.58;0
C#Cc1nc2c(n1CC(=C)CS)CN(C2)CCO	No_4_499;2/000000006;InChI=1S/C13H17N3OS/c1-3-13-14-11-7-15(4-5-17)8-12(11)16(13)6-10(2)9-18/h1,17-18H,2,4-9H2;C13H17N3OS;263;0.45;4.07;5.10;3.58;0
OC(=O)c1c(Cl)nc([nH]1)C1=COCCC1	No_1_649;2/000000001;InChI=1S/C9H9ClN2O3/c10-7-6(9(13)14)11-8(12-7)5-2-1-3-15-4-5/h4H,1-3H2,(H,11,12)(H,13,14);C9H9N2O3Cl;228;1.17;4.02;0.98;18.50;-160
C#Cc1nc2c(n1CC(=C)CS)CN(C2)CCO	No_4_500;2/000000007;InChI=1S/C13H17N3OS/c1-3-13-14-11-7-15(4-5-17)8-12(11)16(13)6-10(2)9-18/h1,17-18H,2,4-9H2;C13H17N3OS;263;0.45;4.07;5.10;3.58;0
C#Cc1nc2c(n1CC(=C)CS)CN(C2)CCO	No_4_496;2/000000003;InChI=1S/C13H17N3OS/c1-3-13-14-11-7-15(4-5-17)8-12(11)16(13)6-10(2)9-18/h1,17-18H,2,4-9H2;C13H17N3OS;263;0.45;4.07;5.10;3.58;0
C#Cc1nc2c(n1CC(=C)CS)CN(C2)CCO	No_4_495;2/000000002;InChI=1S/C13H17N3OS/c1-3-13-14-11-7-15(4-5-17)8-12(11)16(13)6-10(2)9-18/h1,17-18H,2,4-9H2;C13H17N3OS;263;0.45;4.07;5.10;3.58;0
SC/C=C/Cc1cc(oc1N(=O)=O)C(=O)O	No_5_441;3/000000209;InChI=1S/C9H9NO5S/c11-9(12)7-5-6(3-1-2-4-16)8(15-7)10(13)14/h1-2,5,16H,3-4H2,(H,11,12)/b2-1+;C9H9NO5S;243;1.44;4.13;4.29;2.48;0
O[C@H](C)c1nc(oc1CC(=O)/C=C\C1=CCC1)C(=O)O	No_4_65;3/000000234;InChI=1S/C14H15NO5/c1-8(16)12-11(20-13(15-12)14(18)19)7-10(17)6-5-9-3-2-4-9/h3,5-6,8,16H,2,4,7H2,1H3,(H,18,19)/b6-5-/t8-/m1/s1;C14H15NO5;277;-0.35;4.17;7.03;3.72;-170
OCc1nc(oc1CC/C=C\CF)C(=O)O	No_4_155;3/000000238;InChI=1S/C10H12FNO4/c11-5-3-1-2-4-8-7(6-13)12-9(16-8)10(14)15/h1,3,13H,2,4-6H2,(H,14,15)/b3-1-;C10H12NO4F;229;0.24;4.07;2.67;3.85;0
