SMILES,Name,InChI,Formula,MW,LogP,pKd,Structure,Synthesize,Chemical,SA_Score,SA_Score_Binary
Sc1nccc(c1)c1cc(cc(c1O)O)C(=O)CCNN,3/000000175,"InChI=1S/C14H15N3O3S/c15-17-4-2-11(18)9-5-10(14(20)12(19)6-9)8-1-3-16-13(21)7-8/h1,3,5-7,17,19-20H,2,4,15H2,(H,16,21)",C14H15N3O3S,305,1.04,5.89,3.19,17.5,-180,3.10918632600246,1
Oc1c(N/C=C/CN(=O)=O)cc(c(c1)Br)c1ncc(cc1)I,28/000000013,"InChI=1S/C14H11BrIN3O3/c15-11-7-14(20)13(17-4-1-5-19(21)22)6-10(11)12-3-2-9(16)8-18-12/h1-4,6-8,17,20H,5H2/b4-1+",C14H11N3O3BrI,476,3.97,5.87,5.41,19.8,-160,3.320473672445269,1
Oc1c(O)c(cc(c1)C(=O)CO)c1ccc(c(c1)S)O,3/000000164,"InChI=1S/C14H12O5S/c15-6-12(18)8-3-9(14(19)11(17)4-8)7-1-2-10(16)13(20)5-7/h1-5,15-17,19-20H,6H2",C14H12O5S,292,1.93,5.75,3.62,15.9,-160,2.741938872314515,1
C#CCc1c(ccc(c1N)c1cncc(c1C(=O)O)O)/C=C\C,1/000000285,"InChI=1S/C18H16N2O3/c1-3-5-11-7-8-13(17(19)12(11)6-4-2)14-9-20-10-15(21)16(14)18(22)23/h2-3,5,7-10,21H,6,19H2,1H3,(H,22,23)/b5-3-",C18H16N2O3,308,2.24,5.59,8.39,19.8,-180,3.2663793334133953,1
ONC/C=C/Nc1c(O)cc(c(c1)c1ncc(cc1)I)Br,28/000000010,"InChI=1S/C14H13BrIN3O2/c15-11-7-14(20)13(17-4-1-5-19-21)6-10(11)12-3-2-9(16)8-18-12/h1-4,6-8,17,19-21H,5H2/b4-1+",C14H13N3O2BrI,462,3.9,5.34,4.59,17.2,-160,3.302277779493447,1
Oc1cnc(c(c1O)C#CC(=O)Nc1ccccc1F)/C=C\C,1/000000516,"InChI=1S/C17H13FN2O3/c1-2-5-13-11(17(23)15(21)10-19-13)8-9-16(22)20-14-7-4-3-6-12(14)18/h2-7,10,21H,1H3,(H,19,23)(H,20,22)/b5-2-",C17H13N2O3F,312,2.67,5.29,8.38,21.9,-20,3.1020215037430656,1
Oc1cncc(c1O)c1ccc(cc1)C(=C)c1ncc(cc1)F,1/000000284,"InChI=1S/C18H13FN2O2/c1-11(16-7-6-14(19)8-21-16)12-2-4-13(5-3-12)15-9-20-10-17(22)18(15)23/h2-10,22H,1H2,(H,20,23)",C18H13N2O2F,308,3.27,5.28,3.61,16.5,-160,2.6482387078850778,1
C#CCc1c(ccc(c1N)c1cncc(c1)O)/C=C\Cc1nonc1,1/000000289,"InChI=1S/C19H16N4O2/c1-2-4-17-13(5-3-6-15-11-22-25-23-15)7-8-18(19(17)20)14-9-16(24)12-21-10-14/h1,3,5,7-12,24H,4,6,20H2/b5-3-",C19H16N4O2,332,3.16,5.24,5.14,24.6,-160,3.61368777463818,1
Oc1cnc(c(c1O)C#CC(=O)NC1SCCCS1)CO,1/000000210,"InChI=1S/C13H14N2O4S2/c16-7-9-8(12(19)10(17)6-14-9)2-3-11(18)15-13-20-4-1-5-21-13/h6,13,16-17H,1,4-5,7H2,(H,14,19)(H,15,18)",C13H14N2O4S2,326,0.71,5.23,6.74,23.2,-150,3.9341481836655454,1
Oc1cncc(c1O)c1ccc(cc1)C(=C)c1sc(=S)[nH]c1,1/000000076,"InChI=1S/C16H12N2O2S2/c1-9(14-8-18-16(21)22-14)10-2-4-11(5-3-10)12-6-17-7-13(19)15(12)20/h2-8,19H,1H2,(H,17,20)(H,18,21)",C16H12N2O2S2,328,2.93,5.13,3.5,21.2,-160,3.259297798874102,1
