SMILES,Name,InChI,Formula,MW,LogP,pKd,Structure,Synthesize,Chemical,SA_Score,SA_Score_Binary
Oc1cc(I)c(cc1[S@@](=O)c1ccc2c(c1)c(c(s2)C(=O)N)CN)O	No_1_501,12/000000275,"InChI=1S/C16H13IN2O4S2/c17-10-4-12(21)14(5-11(10)20)25(23)7-1-2-13-8(3-7)9(6-18)15(24-13)16(19)22/h1-5,20-21H,6,18H2,(H2,19,22)/t25-/m0/s1",C16H13N2O4S2I,488,0.73,5.68,6.63,24.6,-40,3.7832063432950953,1
Oc1cc(I)c(cc1[S@@](=O)c1ccc2c(c1)c(C=C)c(s2)C(=O)N)O	No_1_243,12/000000150,"InChI=1S/C17H12INO4S2/c1-2-9-10-5-8(3-4-14(10)24-16(9)17(19)22)25(23)15-7-12(20)11(18)6-13(15)21/h2-7,20-21H,1H2,(H2,19,22)/t25-/m0/s1",C17H12NO4S2I,485,2.13,5.68,6.18,24.8,-40,3.8807178817566346,1
Oc1cc(I)c(cc1[S@@](=O)c1ccc2c(c1)c(c(s2)C(=O)N)CO)O	No_1_531,12/000000297,"InChI=1S/C16H12INO5S2/c17-10-4-12(21)14(5-11(10)20)25(23)7-1-2-13-8(3-7)9(6-19)15(24-13)16(18)22/h1-5,19-21H,6H2,(H2,18,22)/t25-/m0/s1",C16H12NO5S2I,489,0.8,5.5,6.07,24.4,-40,3.7643389224806167,1
Oc1cc(I)c(cc1[S@@](=O)c1ccc2c(c1)cc(s2)C(=O)N)OC	No_1_345,12/000000213,"InChI=1S/C16H12INO4S2/c1-22-12-7-15(11(19)6-10(12)17)24(21)9-2-3-13-8(4-9)5-14(23-13)16(18)20/h2-7,19H,1H3,(H2,18,20)/t24-/m0/s1",C16H12NO4S2I,473,2.01,5.48,7.39,23.2,-60,3.4831897210632228,1
Oc1cc(I)c(cc1[S@@](=O)c1ccc2c(c1)c(c(s2)C(=O)N)C)O	No_1_91,12/000000072,"InChI=1S/C16H12INO4S2/c1-7-9-4-8(2-3-13(9)23-15(7)16(18)21)24(22)14-6-11(19)10(17)5-12(14)20/h2-6,19-20H,1H3,(H2,18,21)/t24-/m0/s1",C16H12NO4S2I,473,1.84,5.4,5.52,23.2,-60,3.579204277276241,1
Oc1cc(I)c(cc1[S@@](=O)c1ccc2c(c1)cc(c(=O)o2)C/C=C/N)O	No_1_150,12/000000100,"InChI=1S/C18H14INO5S/c19-13-8-15(22)17(9-14(13)21)26(24)12-3-4-16-11(7-12)6-10(2-1-5-20)18(23)25-16/h1,3-9,21-22H,2,20H2/b5-1+/t26-/m0/s1",C18H14NO5SI,483,2.03,5.4,4.0,24.1,-80,3.9389114065368656,1
Oc1cc(I)c(cc1[S@@](=O)c1ccc2c(c1)cc(c(=O)o2)CC)O	No_1_451,12/000000253,"InChI=1S/C17H13IO5S/c1-2-9-5-10-6-11(3-4-15(10)23-17(9)21)24(22)16-8-13(19)12(18)7-14(16)20/h3-8,19-20H,2H2,1H3/t24-/m0/s1",C17H13O5SI,456,2.59,5.38,4.4,21.1,-100,3.581247763021265,1
Oc1cc(I)c(cc1[S@@](=O)c1ccc2c(c1)cc(c(=O)o2)C=C)O	No_1_305,12/000000186,"InChI=1S/C17H11IO5S/c1-2-9-5-10-6-11(3-4-15(10)23-17(9)21)24(22)16-8-13(19)12(18)7-14(16)20/h2-8,19-20H,1H2/t24-/m0/s1",C17H11O5SI,454,2.63,5.34,4.03,22.1,-80,3.7440239867974885,1
Oc1cc(I)c(cc1[S@@](=O)c1ccc2c(c1)c(c(s2)C(=O)N)CC)O	No_1_74,12/000000068,"InChI=1S/C17H14INO4S2/c1-2-9-10-5-8(3-4-14(10)24-16(9)17(19)22)25(23)15-7-12(20)11(18)6-13(15)21/h3-7,20-21H,2H2,1H3,(H2,19,22)/t25-/m0/s1",C17H14NO4S2I,487,2.09,5.29,6.94,23.8,-60,3.6976737641095756,1
Oc1cc(I)c(cc1[S@@](=O)c1ccc2c(c1)cc(c(=O)o2)CC(=O)C)O	No_1_186,12/000000124,"InChI=1S/C18H13IO6S/c1-9(20)4-11-5-10-6-12(2-3-16(10)25-18(11)23)26(24)17-8-14(21)13(19)7-15(17)22/h2-3,5-8,21-22H,4H2,1H3/t26-/m0/s1",C18H13O6SI,484,1.81,5.29,6.65,23.9,-100,3.623975247273594,1
OCc1ccc(c(c1S)c1ccc(cc1)CC=C)C(=O)O	No_3_619,10/000000017,"InChI=1S/C17H16O3S/c1-2-3-11-4-6-12(7-5-11)15-14(17(19)20)9-8-13(10-18)16(15)21/h2,4-9,18,21H,1,3,10H2,(H,19,20)",C17H16O3S,300,3.8,5.22,5.14,16.3,-160,2.5607688193711606,1
O=Nc1cc(OCCCN)c(c(c1)CCc1cc(F)c(c(c1)N(=O)=O)O)Cl	No_5_334,11/000000048,"InChI=1S/C17H17ClFN3O5/c18-16-11(8-12(21-24)9-15(16)27-5-1-4-20)3-2-10-6-13(19)17(23)14(7-10)22(25)26/h6-9,23H,1-5,20H2",C17H17N3O5FCl,397,3.25,5.21,4.6,6.45,-40,3.02285278096484,1
Oc1cc(I)c(cc1[S@@](=O)c1ccc2c(c1)cc(c(=O)o2)C)O	No_1_395,12/000000231,"InChI=1S/C16H11IO5S/c1-8-4-9-5-10(2-3-14(9)22-16(8)20)23(21)15-7-12(18)11(17)6-13(15)19/h2-7,18-19H,1H3/t23-/m0/s1",C16H11O5SI,442,2.34,5.2,4.3,20.5,-100,3.5717175691679177,1
OC(=O)c1cccc(c1)c1c(S)ccc(c1)N(=O)=O	No_2_198,10/000000041,"InChI=1S/C13H9NO4S/c15-13(16)9-3-1-2-8(6-9)11-7-10(14(17)18)4-5-12(11)19/h1-7,19H,(H,15,16)",C13H9NO4S,275,3.85,5.19,6.85,3.72,-160,2.1793190618677123,1
Oc1cc(I)c(cc1[S@@](=O)c1ccc2c(c1)cc(c(=O)o2)CF)O	No_1_354,12/000000218,"InChI=1S/C16H10FIO5S/c17-7-9-3-8-4-10(1-2-14(8)23-16(9)21)24(22)15-6-12(19)11(18)5-13(15)20/h1-6,19-20H,7H2/t24-/m0/s1",C16H10O5SFI,460,2.44,5.19,4.32,23.2,-80,3.7233072035807044,1
Oc1cc(I)c(cc1[S@@](=O)c1ccc2c(c1)ccc(n2)N)O	No_1_64,12/000000065,"InChI=1S/C15H11IN2O3S/c16-10-6-13(20)14(7-12(10)19)22(21)9-2-3-11-8(5-9)1-4-15(17)18-11/h1-7,19-20H,(H2,17,18)/t22-/m0/s1",C15H11N2O3SI,426,2.46,5.15,3.81,17.3,-80,3.48092630200271,1
OC/C(=C/Cc1c[nH]cc1C(=O)c1nn(cc1Br)C(=O)O)/C	No_4_554,3/000000044,"InChI=1S/C14H14BrN3O4/c1-8(7-19)2-3-9-4-16-5-10(9)13(20)12-11(15)6-18(17-12)14(21)22/h2,4-6,16,19H,3,7H2,1H3,(H,21,22)/b8-2+",C14H13N3O4Br,367,0.3,5.13,9.34,5.09,-20,3.5995295110329106,1
Oc1cc(I)c(cc1[S@@](=O)c1ccc2c(c1)cc(c(=O)o2)CCC)O	No_1_97,12/000000078,"InChI=1S/C18H15IO5S/c1-2-3-10-6-11-7-12(4-5-16(11)24-18(10)22)25(23)17-9-14(20)13(19)8-15(17)21/h4-9,20-21H,2-3H2,1H3/t25-/m0/s1",C18H15O5SI,470,2.95,5.12,6.02,21.7,-100,3.5549529693033595,1
Oc1cc(I)c(cc1[S@@](=O)c1ccc2c(c1)cc(c(=O)o2)CO)O	No_1_290,12/000000176,"InChI=1S/C16H11IO6S/c17-11-5-13(20)15(6-12(11)19)24(22)10-1-2-14-8(4-10)3-9(7-18)16(21)23-14/h1-6,18-20H,7H2/t24-/m0/s1",C16H11O6SI,458,1.3,5.11,4.36,21.7,-80,3.631116993790495,1
Oc1c(cc(cc1O)F)c1coc(c1C=C)N(=O)=O	No_3_647,12/000000032,"InChI=1S/C12H8FNO5/c1-2-7-9(5-19-12(7)14(17)18)8-3-6(13)4-10(15)11(8)16/h2-5,15-16H,1H2",C12H8NO5F,265,2.41,5.11,4.84,2.22,-120,3.254842608682888,1
Sc1ccc(c(c1c1sc(=N)n(c1)CCl)C(=O)N)CO	No_3_377,10/000000082,"InChI=1S/C12H12ClN3O2S2/c13-5-16-3-8(20-12(16)15)10-7(19)2-1-6(4-17)9(10)11(14)18/h1-3,15,17,19H,4-5H2,(H2,14,18)/b15-12+",C12H12N3O2S2Cl,329,1.94,5.11,9.81,3.58,-120,3.6663952825709254,1
Oc1cc(I)c(cc1[S@@](=O)c1ccc2c(c1)CC(=C)N2)O	No_1_35,12/000000055,"InChI=1S/C15H12INO3S/c1-8-4-9-5-10(2-3-12(9)17-8)21(20)15-7-13(18)11(16)6-14(15)19/h2-3,5-7,17-19H,1,4H2/t21-/m0/s1",C15H12NO3SI,413,2.67,5.1,3.88,17.9,-40,3.9332411210597504,1
Oc1cc(I)c(cc1[S@@](=O)c1cc(O)c2c(c1)ccc(=O)o2)O	No_1_358,12/000000222,"InChI=1S/C15H9IO6S/c16-9-5-11(18)13(6-10(9)17)23(21)8-3-7-1-2-14(20)22-15(7)12(19)4-8/h1-6,17-19H/t23-/m0/s1",C15H9O6SI,444,1.79,5.1,4.8,21.1,-80,3.715262624112972,1
OC(=O)c1ccc(c(c1c1ccc(cc1)Cc1nccnc1)S)CO	No_3_580,10/000000014,"InChI=1S/C19H16N2O3S/c22-11-14-5-6-16(19(23)24)17(18(14)25)13-3-1-12(2-4-13)9-15-10-20-7-8-21-15/h1-8,10,22,25H,9,11H2,(H,23,24)",C19H16N2O3S,352,2.48,5.09,7.03,18.1,-160,2.597727725884118,1
Oc1cc(I)c(cc1[S@@](=O)c1ccc2c(c1)cc(c(=O)o2)CC(=C)C)O	No_1_310,12/000000191,"InChI=1S/C19H15IO5S/c1-10(2)5-12-6-11-7-13(3-4-17(11)25-19(12)23)26(24)18-9-15(21)14(20)8-16(18)22/h3-4,6-9,21-22H,1,5H2,2H3/t26-/m0/s1",C19H15O5SI,482,2.62,5.07,6.94,23.3,-100,3.720202116179336,1
Oc1ccc(cc1N(=O)=O)c1c[nH]c(c1)CNC(=O)CCc1cnccc1	No_4_518,25/000000022,"InChI=1S/C19H18N4O4/c24-18-5-4-14(9-17(18)23(26)27)15-8-16(21-11-15)12-22-19(25)6-3-13-2-1-7-20-10-13/h1-2,4-5,7-11,21,24H,3,6,12H2,(H,22,25)",C19H18N4O4,366,2.02,5.07,3.1,4.94,-160,2.54197751028957,1
Oc1ccc(cc1c1ncccc1)[S@](=O)c1cc(O)c(cc1O)I	No_1_237,12/000000144,"InChI=1S/C17H12INO4S/c18-12-8-16(22)17(9-15(12)21)24(23)10-4-5-14(20)11(7-10)13-3-1-2-6-19-13/h1-9,20-22H/t24-/m0/s1",C17H12NO4SI,453,2.81,5.07,5.03,17.9,-160,3.419120260672867,1
Sc1ccc(cc1c1ccc(c(c1)C(=O)O)N(=O)=O)N(=O)=O	No_3_697,10/000000091,"InChI=1S/C13H8N2O6S/c16-13(17)10-5-7(1-3-11(10)15(20)21)9-6-8(14(18)19)2-4-12(9)22/h1-6,22H,(H,16,17)",C13H8N2O6S,320,3.74,5.06,7.89,3.72,-186,2.4351374380211777,1
Oc1cc(I)c(cc1[S@@](=O)c1ccc2c(c1)COC2=O)O	No_1_41,12/000000058,"InChI=1S/C14H9IO5S/c15-10-4-12(17)13(5-11(10)16)21(19)8-1-2-9-7(3-8)6-20-14(9)18/h1-5,16-17H,6H2/t21-/m0/s1",C14H9O5SI,416,2.07,5.0,3.88,18.3,-40,3.6317100865769927,1
Oc1cc(I)c(cc1[S@@](=O)c1ccc2c(c1)cc(c(=O)o2)CCl)O	No_1_618,12/000000335,"InChI=1S/C16H10ClIO5S/c17-7-9-3-8-4-10(1-2-14(8)23-16(9)21)24(22)15-6-12(19)11(18)5-13(15)20/h1-6,19-20H,7H2/t24-/m0/s1",C16H10O5SClI,476,2.58,5.0,5.02,22.2,-80,3.6749148958883975,1
OC(=O)c1cccc(c1F)c1c(S)ccc(c1)N(=O)=O	No_3_147,10/000000077,"InChI=1S/C13H8FNO4S/c14-12-8(2-1-3-9(12)13(16)17)10-6-7(15(18)19)4-5-11(10)20/h1-6,20H,(H,16,17)",C13H8NO4SF,293,4.01,4.99,7.34,3.72,-160,2.4273850261606675,1
