SMILES;Name;InChI;Formula;MW;LogP;pKd;Structure;Synthesize;Chemical
OCc1ccc2c(c1N=O)C(=O)/C(=C\C1NCCN1)/O2;1/000000011;InChI=1S/C13H13N3O4/c17-6-7-1-2-8-11(12(7)16-19)13(18)9(20-8)5-10-14-3-4-15-10/h1-2,5,10,14-15,17H,3-4,6H2/b9-5+;C13H13N3O4;275;-0.09;4.57;4.97;3.58;-190
Oc1ccc(cc1S)/C=C/[C@H](C(=O)N1N=COC1)O;1/000000004;InChI=1S/C12H12N2O4S/c15-9-3-1-8(5-11(9)19)2-4-10(16)12(17)14-7-18-6-13-14/h1-6,10,15-16,19H,7H2/b4-2+/t10-/m1/s1;C12H12N2O4S;280;1.50;4.30;4.76;3.58;-150
Oc1ccc(cc1S)/C=C/[C@H](C(=O)N1N=COC1)O;1/000000005;InChI=1S/C12H12N2O4S/c15-9-3-1-8(5-11(9)19)2-4-10(16)12(17)14-7-18-6-13-14/h1-6,10,15-16,19H,7H2/b4-2+/t10-/m1/s1;C12H12N2O4S;280;1.50;4.12;4.98;3.58;-150
Oc1ccc(cc1S)/C=C/[C@H](C(=O)N1N=COC1)O;1/000000006;InChI=1S/C12H12N2O4S/c15-9-3-1-8(5-11(9)19)2-4-10(16)12(17)14-7-18-6-13-14/h1-6,10,15-16,19H,7H2/b4-2+/t10-/m1/s1;C12H12N2O4S;280;1.50;4.28;4.79;3.58;-150
OC[C@@H](/C=C\1/Oc2c(C1=O)c(O)c(cc2)ON)S;1/000000001;InChI=1S/C11H11NO5S/c12-17-7-2-1-6-9(10(7)14)11(15)8(16-6)3-5(18)4-13/h1-3,5,13-14,18H,4,12H2/b8-3+/t5-/m1/s1;C11H11NO5S;269;-0.32;4.44;4.50;3.58;-190
Oc1ccc(cc1CC)/C=C/[C@H](C(=O)N1N=COC1)O;1/000000008;InChI=1S/C14H16N2O4/c1-2-11-7-10(3-5-12(11)17)4-6-13(18)14(19)16-9-20-8-15-16/h3-8,13,17-18H,2,9H2,1H3/b6-4+/t13-/m1/s1;C14H16N2O4;276;1.60;4.14;5.52;4.94;-170
Oc1ccc(cc1CC)/C=C/[C@H](C(=O)N1N=COC1)O;1/000000007;InChI=1S/C14H16N2O4/c1-2-11-7-10(3-5-12(11)17)4-6-13(18)14(19)16-9-20-8-15-16/h3-8,13,17-18H,2,9H2,1H3/b6-4+/t13-/m1/s1;C14H16N2O4;276;1.60;4.07;5.88;4.94;-170
OCc1ccc2c(c1N=O)C(=O)/C(=C\C1NCCN1)/O2;1/000000012;InChI=1S/C13H13N3O4/c17-6-7-1-2-8-11(12(7)16-19)13(18)9(20-8)5-10-14-3-4-15-10/h1-2,5,10,14-15,17H,3-4,6H2/b9-5+;C13H13N3O4;275;-0.09;4.67;4.82;3.58;-190
Oc1ccc(cc1S)/C=C/[C@H](C(=O)N1N=COC1)O;1/000000003;InChI=1S/C12H12N2O4S/c15-9-3-1-8(5-11(9)19)2-4-10(16)12(17)14-7-18-6-13-14/h1-6,10,15-16,19H,7H2/b4-2+/t10-/m1/s1;C12H12N2O4S;280;1.50;4.14;4.43;3.58;-150
OC[C@@H](/C=C\1/Oc2c(C1=O)c(O)c(cc2)ON)S;1/000000002;InChI=1S/C11H11NO5S/c12-17-7-2-1-6-9(10(7)14)11(15)8(16-6)3-5(18)4-13/h1-3,5,13-14,18H,4,12H2/b8-3+/t5-/m1/s1;C11H11NO5S;269;-0.32;4.51;4.22;3.58;-190
OC[C@@H](/C=C\1/Oc2c(C1=O)c(O)c(cc2)ON)S;1/000000009;InChI=1S/C11H11NO5S/c12-17-7-2-1-6-9(10(7)14)11(15)8(16-6)3-5(18)4-13/h1-3,5,13-14,18H,4,12H2/b8-3+/t5-/m1/s1;C11H11NO5S;269;-0.32;4.51;4.22;3.58;-190
