SMILES,Name,InChI,Formula,MW,LogP,pKd,Structure,Synthesize,Chemical,SA_Score,SA_Score_Binary
Oc1ccnn1CCc1cc(c(c(c1)F)ON)c1nc([nH]c1)C(=O)NC,27/000000362,"InChI=1S/C16H17FN6O3/c1-19-16(25)15-20-8-12(22-15)10-6-9(7-11(17)14(10)26-18)3-5-23-13(24)2-4-21-23/h2,4,6-8,24H,3,5,18H2,1H3,(H,19,25)(H,20,22)",C16H17N6O3F,360,0.87,6.11,4.01,3.58,-160,3.5544044104331025,1
SCS(=O)(=O)CCc1cc(c(c(c1)F)ON)c1nc([nH]c1)C(=O)NC,27/000000520,"InChI=1S/C14H17FN4O4S2/c1-17-14(20)13-18-6-11(19-13)9-4-8(2-3-25(21,22)7-24)5-10(15)12(9)23-16/h4-6,24H,2-3,7,16H2,1H3,(H,17,20)(H,18,19)",C14H17N4O4S2F,388,0.46,5.87,3.83,3.58,-160,3.6933399239594475,1
NOc1c(F)cc(cc1c1nc([nH]c1)C(=O)NC)CC/C=C\C,27/000000289,"InChI=1S/C16H19FN4O2/c1-3-4-5-6-10-7-11(14(23-18)12(17)8-10)13-9-20-15(21-13)16(22)19-2/h3-4,7-9H,5-6,18H2,1-2H3,(H,19,22)(H,20,21)/b4-3-",C16H19N4O2F,318,1.48,5.78,3.66,3.58,-200,3.457393859512295,1
NOc1c(F)cc(cc1c1nc([nH]c1)C(=O)NC)CCc1[nH]ccc1,27/000000324,"InChI=1S/C17H18FN5O2/c1-20-17(24)16-22-9-14(23-16)12-7-10(8-13(18)15(12)25-19)4-5-11-3-2-6-21-11/h2-3,6-9,21H,4-5,19H2,1H3,(H,20,24)(H,22,23)",C17H18N5O2F,343,1.07,5.77,3.82,3.58,-140,3.4354356348765336,1
NOc1c(F)cc(cc1c1nc([nH]c1)C(=O)NC)CCCCC,27/000000433,"InChI=1S/C16H21FN4O2/c1-3-4-5-6-10-7-11(14(23-18)12(17)8-10)13-9-20-15(21-13)16(22)19-2/h7-9H,3-6,18H2,1-2H3,(H,19,22)(H,20,21)",C16H21N4O2F,320,1.89,5.76,3.42,3.58,-200,3.141805397973833,1
SCS(=O)(=O)CCc1cc(F)c(c(c1)c1nc([nH]c1)C(=O)NC(N)N)ON,27/000000462,"InChI=1S/C14H19FN6O4S2/c15-9-4-7(1-2-27(23,24)6-26)3-8(11(9)25-18)10-5-19-12(20-10)13(22)21-14(16)17/h3-5,14,26H,1-2,6,16-18H2,(H,19,20)(H,21,22)",C14H17N6O4S2F,416,-0.22,5.7,4.36,4.94,-180,3.866337763734755,1
NOc1c(F)cc(cc1c1nc([nH]c1)C(=O)NC)CCc1occc1,27/000000383,"InChI=1S/C17H17FN4O3/c1-20-17(23)16-21-9-14(22-16)12-7-10(8-13(18)15(12)25-19)4-5-11-3-2-6-24-11/h2-3,6-9H,4-5,19H2,1H3,(H,20,23)(H,21,22)",C17H17N4O3F,344,0.96,5.7,3.27,3.58,-140,3.237326425775775,1
NOc1c(F)cc(cc1c1nc([nH]c1)C(=O)NC)CCC1=NCCC1,27/000000296,"InChI=1S/C17H20FN5O2/c1-20-17(24)16-22-9-14(23-16)12-7-10(8-13(18)15(12)25-19)4-5-11-3-2-6-21-11/h7-9H,2-6,19H2,1H3,(H,20,24)(H,22,23)",C17H20N5O2F,345,0.39,5.65,4.57,3.58,-140,3.6051738797302724,1
NOc1c(F)cc(cc1c1nc([nH]c1)C(=O)NC)CCc1cnoc1,27/000000274,"InChI=1S/C16H16FN5O3/c1-19-16(23)15-20-7-13(22-15)11-4-9(5-12(17)14(11)25-18)2-3-10-6-21-24-8-10/h4-8H,2-3,18H2,1H3,(H,19,23)(H,20,22)",C16H16N5O3F,345,0.9,5.61,3.62,3.58,-160,3.5301823304344975,1
C(=C)CCc1cc(F)c(c(c1)c1nc([nH]c1)C(=O)NC)ON,27/000000491,"InChI=1S/C15H17FN4O2/c1-3-4-5-9-6-10(13(22-17)11(16)7-9)12-8-19-14(20-12)15(21)18-2/h3,6-8H,1,4-5,17H2,2H3,(H,18,21)(H,19,20)",C15H17N4O2F,304,1.17,5.6,1.43,3.58,-140,3.4040658540341724,1
OC(=O)Cc1nc(c[nH]1)c1c(ON)c(F)cc(c1)CCS(=O)(=O)CI,27/000000443,"InChI=1S/C14H15FIN3O5S/c15-10-4-8(1-2-25(22,23)7-16)3-9(14(10)24-17)11-6-18-12(19-11)5-13(20)21/h3-4,6H,1-2,5,7,17H2,(H,18,19)(H,20,21)",C14H15N3O5SFI,483,1.11,5.56,4.98,3.58,-180,3.6216921864028864,1
SCS(=O)(=O)CCc1cc(c(c(c1)F)ON)c1nc([nH]c1)COC,27/000000345,"InChI=1S/C14H18FN3O4S2/c1-21-7-13-17-6-12(18-13)10-4-9(2-3-24(19,20)8-23)5-11(15)14(10)22-16/h4-6,23H,2-3,7-8,16H2,1H3,(H,17,18)",C14H18N3O4S2F,375,0.76,5.55,3.49,3.58,-160,3.670157279514493,1
NOc1c(F)cc(cc1c1nc([nH]c1)C(=O)NC)CNCCCC,27/000000175,"InChI=1S/C16H22FN5O2/c1-3-4-5-20-8-10-6-11(14(24-18)12(17)7-10)13-9-21-15(22-13)16(23)19-2/h6-7,9,20H,3-5,8,18H2,1-2H3,(H,19,23)(H,21,22)",C16H22N5O2F,335,0.99,5.5,3.61,5.09,-200,3.173427293083016,1
