SMILES;Name;InChI;Formula;MW;LogP;pKd;Structure;Synthesize;Chemical
OC(=O)CCC[C@H](CO)/C=C/c1cc(F)cc(c1O)F;1/000000043;InChI=1S/C14H16F2O4/c15-11-6-10(14(20)12(16)7-11)5-4-9(8-17)2-1-3-13(18)19/h4-7,9,17,20H,1-3,8H2,(H,18,19)/b5-4+/t9-/m0/s1;C14H16O4F2;286;2.01;4.37;2.05;3.58;-150
ONC(=O)/C=C/[C@H](CO)/C=C/c1cc(F)cc(c1O)F;1/000000062;InChI=1S/C13H13F2NO4/c14-10-5-9(13(19)11(15)6-10)3-1-8(7-17)2-4-12(18)16-20/h1-6,8,17,19-20H,7H2,(H,16,18)/b3-1+,4-2+/t8-/m1/s1;C13H13NO4F2;285;1.01;4.41;2.02;3.58;-170
ON[C@@H](c1nnc([nH]1)C)/C=C/c1cc(F)cc(c1O)F;1/000000115;InChI=1S/C12H12F2N4O2/c1-6-15-12(17-16-6)10(18-20)3-2-7-4-8(13)5-9(14)11(7)19/h2-5,10,18-20H,1H3,(H,15,16,17)/b3-2+/t10-/m1/s1;C12H12N4O2F2;282;2.85;4.37;2.41;3.58;-170
Oc1c(cc(cc1F)F)/C=C/[C@H]([NH2+]CCN)CO;1/000000103;InChI=1S/C12H16F2N2O2/c13-9-5-8(12(18)11(14)6-9)1-2-10(7-17)16-4-3-15/h1-2,5-6,10,16-18H,3-4,7,15H2/p+1/b2-1+/t10-/m0/s1;C12H17N2O2F2;259;0.67;4.12;2.72;2.22;-150
ON[C@@H](c1nnc([nH]1)CO)/C=C/c1cc(F)cc(c1O)F;1/000000136;InChI=1S/C12H12F2N4O3/c13-7-3-6(11(20)8(14)4-7)1-2-9(18-21)12-15-10(5-19)16-17-12/h1-4,9,18-21H,5H2,(H,15,16,17)/b2-1+/t9-/m1/s1;C12H12N4O3F2;298;1.81;4.33;2.12;23.40;-150
ON[C@@H](CCNCN)/C=C/c1cc(F)cc(c1O)F;1/000000114;InChI=1S/C12H17F2N3O2/c13-9-5-8(12(18)11(14)6-9)1-2-10(17-19)3-4-16-7-15/h1-2,5-6,10,16-19H,3-4,7,15H2/b2-1+/t10-/m1/s1;C12H17N3O2F2;273;1.43;4.26;5.98;2.22;-150
ON[C@@H](c1nnc([nH]1)CO)/C=C/c1cc(F)cc(c1O)F;1/000000124;InChI=1S/C12H12F2N4O3/c13-7-3-6(11(20)8(14)4-7)1-2-9(18-21)12-15-10(5-19)16-17-12/h1-4,9,18-21H,5H2,(H,15,16,17)/b2-1+/t9-/m1/s1;C12H12N4O3F2;298;1.81;4.27;2.69;23.40;-150
ON[C@@H](c1nnc([nH]1)CO)/C=C/c1cc(F)cc(c1O)F;1/000000131;InChI=1S/C12H12F2N4O3/c13-7-3-6(11(20)8(14)4-7)1-2-9(18-21)12-15-10(5-19)16-17-12/h1-4,9,18-21H,5H2,(H,15,16,17)/b2-1+/t9-/m1/s1;C12H12N4O3F2;298;1.81;4.26;2.37;23.40;-170
Oc1c(cc(cc1F)F)/C=C/[C@H]([NH2+]CCS(=O)(=O)O)CO;1/000000155;InChI=1S/C12H15F2NO5S/c13-9-5-8(12(17)11(14)6-9)1-2-10(7-16)15-3-4-21(18,19)20/h1-2,5-6,10,15-17H,3-4,7H2,(H,18,19,20)/p+1/b2-1+/t10-/m0/s1;C12H16NO5SF2;324;0.27;4.20;2.62;3.58;-200
Oc1c(Cl)c(ncc1O)[C@@H](CF)N;1/000000141;InChI=1S/C7H8ClFN2O2/c8-5-6(3(10)1-9)11-2-4(12)7(5)13/h2-3,12H,1,10H2,(H,11,13)/t3-/m1/s1;C7H8N2O2FCl;206;0.52;4.11;2.33;2.47;-150
